,DMSO-CHX__vs_DMSO,U1-WT100-CHX_vs_DMSO,U1-WT100-CHX_vs_DMSO-CHX,U1-WT100-CHX_vs_WT100,U1-WT100-EtOH_vs_DMSO,U1-WT500-CHX_vs_DMSO,U1-WT500-CHX_vs_DMSO-CHX,U1-WT500-CHX_vs_WT500,U1-WT500-EtOH_vs_DMSO
TBCE,0,0,0,0,0,1,0,1,0
TBCE.1,1,1,0,0,0,1,0,0,0
GNG4,0,0,0,0,0,1,0,0,0
NID1,1,1,0,0,0,1,0,1,0
GPR137B,1,1,0,1,0,1,0,1,0
EDARADD,1,1,0,1,0,1,0,1,0
ACTN2,1,1,0,1,0,1,0,1,0
RYR2,1,1,0,1,0,1,0,1,0
OPN3,1,1,0,1,0,1,0,1,0
EXO1,1,0,0,0,0,0,0,0,0
LINC01347,1,1,0,1,0,1,0,1,0
AL606534.1,0,1,0,0,0,0,0,0,0
CATSPERE,1,1,0,0,0,0,0,1,0
TFB2M,1,1,0,0,0,1,0,0,0
LINC01341,0,0,0,0,0,0,0,1,0
ZNF695,1,1,0,1,0,1,0,1,0
ZNF670,1,1,0,1,0,1,0,1,0
ZNF669,1,1,0,1,0,1,0,1,0
ZNF124,1,1,0,1,0,1,0,1,0
ZNF672,0,0,0,0,0,1,0,1,0
ZNF692,1,1,0,1,0,1,0,1,0
TMEM18,0,0,0,0,0,1,0,0,0
SNTG2.AS1,1,0,0,0,0,1,0,0,0
SNTG2,1,1,0,1,0,1,0,1,0
AC108488.1,1,1,0,1,0,1,0,1,0
AC108488.2,1,1,0,1,0,1,0,1,0
COLEC11,1,1,0,1,0,1,0,1,0
ID2.AS1,0,0,0,1,0,0,0,0,0
ID2,0,1,0,1,0,1,0,0,0
ITGB1BP1,1,0,0,1,0,0,0,1,0
AC073195.2,0,1,0,1,0,0,0,0,0
TAF1B,1,1,0,1,0,1,0,1,0
GRHL1,1,1,0,1,0,1,0,1,0
KLF11,1,1,0,1,0,1,0,1,0
ODC1.DT,1,1,0,1,0,1,0,1,0
RN7SL832P,0,0,0,0,0,1,0,0,0
PDIA6,1,1,0,1,0,1,0,1,0
SLC66A3,0,0,0,0,0,1,0,0,0
TRIB2,1,1,0,1,0,1,0,1,0
LRATD1,0,0,0,1,0,0,0,0,0
MYCN,1,0,0,1,0,1,0,1,0
GEN1,1,1,0,1,0,1,0,1,0
KCNS3,0,1,0,1,0,0,0,0,0
RDH14,1,0,0,0,0,0,0,0,0
LINC01376,1,1,0,1,0,0,0,1,0
MATN3,0,0,0,1,0,0,0,0,0
LAPTM4A,1,1,0,1,0,1,0,1,0
SDC1,1,0,0,1,0,0,0,1,0
DRG1P1,1,1,0,0,0,1,0,0,0
RHOB,1,1,0,1,0,1,0,1,0
GDF7,1,1,0,1,0,1,0,1,0
KLHL29,0,1,0,1,0,1,0,1,0
ATAD2B,1,1,0,1,0,1,0,1,0
WDCP,1,0,0,0,0,0,0,0,0
AC009228.1,0,1,0,0,0,0,0,0,0
PTRHD1,0,0,0,0,0,0,0,1,0
DNAJC27,1,1,0,1,0,1,0,1,0
EFR3B,1,1,0,0,0,1,0,0,0
POMC,0,0,0,1,0,0,0,0,0
PTGES3P2,0,0,0,0,0,0,0,1,0
GAREM2,1,1,0,1,0,1,0,1,0
DRC1,1,0,0,0,0,0,0,0,0
CENPA,1,1,0,1,0,1,0,1,0
GTF3C2.AS1,0,0,0,0,0,0,0,1,0
ZNF513,1,1,0,1,0,1,0,1,0
FTH1P3,0,0,0,0,0,1,0,0,0
AC074091.2,1,1,0,1,0,1,0,1,0
CCDC121,1,1,0,1,0,1,0,1,0
LINC01460,0,0,0,1,0,0,0,0,0
FOSL2,1,1,0,0,0,1,0,0,0
SPDYA,1,0,0,0,0,1,0,0,0
WDR43,1,1,0,1,0,1,0,0,0
TOGARAM2,0,0,0,0,0,0,0,1,0
CAPN14,1,0,0,0,0,0,0,1,0
EHD3,1,1,0,1,0,1,0,1,0
XDH,1,1,0,1,0,1,0,1,0
AL121658.1,0,1,0,1,0,1,0,0,0
AC020594.1,1,1,0,1,0,1,0,1,0
HEATR5B,1,0,0,0,0,0,0,0,0
NDUFAF7,1,1,0,0,0,1,0,0,0
RMDN2,1,1,0,1,0,1,0,1,0
CYP1B1.AS1,1,0,0,1,0,0,0,1,0
LINC02613,0,0,0,0,0,0,0,1,0
RPLP0P6,0,0,0,0,0,1,0,1,0
ASS1P2,0,1,0,1,0,1,0,0,0
ARHGEF33,1,1,0,0,0,1,0,0,0
SOS1.IT1,0,1,0,0,0,1,0,0,0
THUMPD2,1,1,0,1,0,1,0,1,0
LINC01126,0,0,0,0,0,0,0,1,0
THADA,1,1,0,1,0,1,0,1,0
PLEKHH2,1,1,0,1,0,1,0,1,0
C1GALT1C1L,0,0,0,1,0,0,0,1,0
SRBD1,1,1,0,1,0,1,0,1,0
EPAS1,1,0,0,0,0,1,0,0,0
ATP6V1E2,0,0,0,0,0,1,0,0,0
CRIPT,1,0,0,0,0,0,0,1,0
EPCAM,0,0,0,1,0,0,0,1,0
MSH2.OT1,0,0,0,0,0,1,0,0,0
PPP1R21,0,0,0,1,0,0,0,0,0
CHAC2,0,1,0,0,0,1,0,0,0
ERLEC1,0,0,0,0,0,1,0,0,0
GPR75,1,1,0,1,0,0,0,0,0
CLHC1,1,1,0,1,0,1,0,1,0
RPS27A,1,0,0,1,0,0,0,1,0
MTIF2,1,1,0,1,0,1,0,1,0
EFEMP1,1,0,0,1,0,1,0,1,0
EIF3FP3,1,1,0,0,0,1,0,1,0
LINC01122,1,0,0,0,0,0,0,0,0
PAPOLG,1,1,0,1,0,1,0,1,0
REL,1,1,0,1,0,1,0,1,0
AC010733.1,1,0,0,0,0,0,0,0,0
PUS10,1,1,0,1,0,1,0,1,0
PEX13,1,0,0,0,0,0,0,0,0
AHSA2P,1,1,0,1,0,1,0,1,0
TMEM17,0,0,0,0,0,0,0,1,0
WDPCP,1,1,0,1,0,1,0,1,0
SLC1A4,1,1,0,0,0,1,0,0,0
AC007318.3,1,1,0,1,0,1,0,1,0
ACTR2,1,1,0,0,0,1,0,1,0
SPRED2,1,1,0,0,0,1,0,1,0
MEIS1,0,1,0,1,0,1,0,1,0
PNO1,0,0,0,0,0,1,0,0,0
APLF,1,1,0,1,0,0,0,1,0
ARHGAP25,1,0,0,1,0,0,0,1,0
ANTXR1,0,1,0,0,0,1,0,0,0
MXD1,1,0,0,1,0,1,0,1,0
PCBP1.AS1,1,1,0,1,0,1,0,1,0
C2orf42,0,1,0,1,0,0,0,0,0
TIA1,1,1,0,1,0,1,0,0,0
PCYOX1,1,1,0,0,0,1,0,1,0
ADD2,1,1,0,1,0,1,0,1,0
CLEC4F,1,1,0,1,0,1,0,1,0
VAX2,1,1,0,0,0,1,0,0,0
ATP6V1B1,1,1,0,1,0,1,0,1,0
MCEE,1,1,0,1,0,1,0,1,0
ZNF638,1,0,0,1,0,0,0,0,0
CYP26B1,1,1,0,1,0,1,0,0,0
FBXO41,1,1,0,1,0,1,0,1,0
EGR4,0,0,0,1,0,1,0,1,0
ALMS1,0,0,0,1,0,0,0,0,0
ALMS1.IT1,0,0,0,0,0,1,0,0,0
ALMS1P1,1,1,0,1,0,1,0,0,0
MOB1A,1,1,0,1,0,1,0,1,0
AC073263.2,1,1,0,0,0,1,0,0,0
MTHFD2,1,1,0,1,0,1,0,1,0
SLC4A5,1,1,0,1,0,1,0,1,0
CCDC142,1,1,0,1,0,1,0,1,0
TTC31,1,1,0,1,0,1,0,1,0
PCGF1,1,1,0,1,0,1,0,1,0
DQX1,1,1,0,1,0,0,0,0,0
REG1A,1,1,0,1,0,1,0,0,0
DNAH6,1,1,0,1,0,1,0,1,0
TMSB10,1,0,0,0,0,0,0,1,0
AC022210.1,0,1,0,1,0,0,0,0,0
ELMOD3,1,1,0,1,0,1,0,1,0
MAT2A,1,1,0,1,0,1,0,1,0
ATOH8,1,1,0,1,0,1,0,0,0
AC009309.2,0,0,0,1,0,0,0,0,0
REEP1,1,1,0,1,0,1,0,1,0
RGPD1,0,0,0,0,0,1,0,0,0
PLGLB1,1,1,0,1,0,1,0,1,0
AC125232.1,1,1,0,1,0,1,0,1,0
AC133644.2,1,1,0,1,0,1,0,1,0
PLGLB2,1,1,0,1,0,1,0,1,0
KRCC1,1,1,0,1,0,1,0,1,0
AC062029.1,0,0,0,0,0,0,0,1,0
AC233263.6,0,0,0,1,0,0,0,1,0
AC026273.1,1,0,0,0,0,1,0,0,0
SNX18P14,0,0,0,0,0,0,0,1,0
ANKRD20A8P,1,1,0,1,0,1,0,1,0
ZNF2,1,1,0,1,0,1,0,1,0
AC092835.1,0,0,0,1,0,0,0,0,0
LINC00342,0,0,0,0,0,1,0,0,0
ANKRD36C,1,1,0,1,0,1,0,1,0
FAHD2CP,0,1,0,1,0,1,0,1,0
STARD7,0,0,0,0,0,0,0,1,0
STARD7.AS1,1,1,0,1,0,1,0,1,0
ARID5A,1,1,0,1,0,1,0,1,0
KANSL3,1,1,0,1,0,0,0,1,0
LMAN2L,1,1,0,1,0,1,0,1,0
ANKRD23,1,1,0,1,0,1,0,1,0
ANKRD36,1,1,0,1,0,1,0,1,0
AC159540.2,0,1,0,0,0,1,0,0,0
AC092683.1,0,0,0,0,0,1,0,0,0
ANKRD36B,1,1,0,1,0,1,0,1,0
COX5B,1,0,0,0,0,0,0,0,0
ACTR1B,0,0,0,0,0,1,0,1,0
C2orf92,1,1,0,0,0,1,0,0,0
MGAT4A,1,1,0,0,0,1,0,1,0
AC079447.1,1,1,0,1,0,1,0,0,0
LIPT1,1,1,0,1,0,1,0,1,0
LYG1,1,1,0,1,0,1,0,1,0
REV1,1,1,0,1,0,1,0,1,0
AC018690.1,0,0,0,1,0,0,0,1,0
RPL31,1,0,0,1,0,0,0,1,0
IL1R1,1,0,0,0,0,1,0,1,0
SLC9A2,1,0,0,1,0,1,0,1,0
TMEM182,1,1,0,1,0,1,0,1,0
AC068057.2,0,0,0,0,0,1,0,0,0
GPR45,0,0,0,1,0,1,0,1,0
RGPD3,1,0,0,0,0,0,0,0,0
RGPD4,0,0,0,0,0,0,0,1,0
SOWAHC,1,1,0,0,0,1,0,1,0
RGPD5,0,0,0,1,0,0,0,1,0
MTLN,1,1,0,1,0,1,0,1,0
RGPD6,1,1,0,1,0,1,0,1,0
BCL2L11,1,0,0,0,0,0,0,0,0
ZC3H8,1,1,0,1,0,1,0,1,0
ZC3H6,1,0,0,1,0,0,0,1,0
RGPD8,1,1,0,1,0,1,0,1,0
AC079922.2,0,0,0,0,0,1,0,1,0
IL36G,0,0,0,1,0,0,0,0,0
AC016745.1,1,0,0,0,0,0,0,0,0
WASH2P,1,1,0,1,0,1,0,1,0
RPL23AP7,1,1,0,1,0,1,0,0,0
STEAP3,1,0,0,1,0,0,0,1,0
STEAP3.AS1,0,0,0,0,0,1,0,0,0
DBI,1,0,0,1,0,1,0,1,0
INHBB,1,1,0,1,0,1,0,1,0
AC012447.1,0,0,0,0,0,1,0,0,0
AC011246.1,1,1,0,0,0,0,0,1,0
GYPC,0,0,0,0,0,1,0,0,0
IWS1,1,1,0,0,0,1,0,0,0
HS6ST1,1,1,0,1,0,1,0,1,0
LINC02572,1,1,0,1,0,1,0,1,0
MZT2B,1,1,0,1,0,0,0,0,0
AMER3,1,1,0,1,0,1,0,0,0
RAB6D,0,0,0,1,0,0,0,0,0
MZT2A,0,0,0,1,0,0,0,0,0
SMPD4BP,1,1,0,1,0,1,0,1,0
MGAT5,1,1,0,1,0,1,0,1,0
CCNT2,1,1,0,1,0,1,0,1,0
ZRANB3,1,0,0,1,0,0,0,0,0
CXCR4,1,1,0,1,0,1,0,1,0
SPOPL,1,0,0,1,0,0,0,0,0
AC092620.1,0,0,0,1,0,1,0,0,0
LRP1B,1,0,0,1,0,0,0,1,0
ZEB2,1,1,0,1,0,1,0,1,0
ACVR2A,1,1,0,1,0,1,0,1,0
EPC2,1,1,0,1,0,1,0,1,0
LYPD6,1,1,0,1,0,1,0,1,0
RBM43,1,1,0,1,0,1,0,1,0
RIF1,0,0,0,1,0,0,0,0,0
NEB,0,0,0,0,0,1,0,0,0
CACNB4,1,1,0,1,0,1,0,1,0
STAM2,1,0,0,1,0,0,0,0,0
GALNT5,1,1,0,0,0,1,0,1,0
CYTIP,1,1,0,1,0,1,0,1,0
AC019186.1,1,0,0,0,0,0,0,0,0
AC009506.2,0,0,0,0,0,1,0,1,0
MARCHF7,1,1,0,1,0,1,0,1,0
CD302,1,1,0,1,0,1,0,1,0
SCN2A,1,1,0,1,0,0,0,0,0
CSRNP3,1,0,0,1,0,0,0,1,0
TTC21B,1,1,0,1,0,1,0,1,0
B3GALT1,1,1,0,0,0,1,0,0,0
BBS5,1,1,0,1,0,1,0,1,0
FASTKD1,0,0,0,0,0,0,0,1,0
CCDC173,1,0,0,0,0,0,0,1,0
PHOSPHO2,1,1,0,1,0,1,0,1,0
UBR3,0,0,0,1,0,0,0,0,0
AC007405.2,1,0,0,1,0,0,0,0,0
EIF2S2P4,0,0,0,0,0,0,0,1,0
GAD1,1,1,0,1,0,1,0,1,0
AC007405.3,0,1,0,0,0,1,0,1,0
DCAF17,1,1,0,1,0,1,0,1,0
DAP3P2,0,1,0,0,0,0,0,0,0
CYBRD1,1,1,0,1,0,1,0,1,0
DLX2,1,1,0,1,0,1,0,1,0
ITGA6,1,0,0,0,0,1,0,0,0
SP9,1,1,0,1,0,1,0,1,0
H3P6,1,1,0,1,0,1,0,1,0
HOXD3,1,1,0,1,0,1,0,1,0
HOXD4,1,0,0,0,0,1,0,0,0
HAGLR,1,0,0,0,0,0,0,0,0
HNRNPA3,1,1,0,1,0,1,0,1,0
TTC30B,0,0,0,1,0,0,0,0,0
AC010680.4,0,0,0,1,0,0,0,0,0
NEUROD1,0,1,0,0,0,0,0,0,0
AC009962.1,1,0,0,1,0,0,0,1,0
PDE1A,1,0,0,0,0,1,0,0,0
NCKAP1,1,1,0,1,0,1,0,1,0
NUP35,1,1,0,1,0,1,0,1,0
AC021851.1,1,1,0,1,0,1,0,1,0
CACYBPP2,0,0,0,0,0,0,0,1,0
AC009315.1,1,1,0,1,0,1,0,1,0
LINC01473,1,1,0,1,0,1,0,1,0
FAM171B,0,0,0,0,0,1,0,0,0
ZSWIM2,1,0,0,0,0,0,0,0,0
COL3A1,1,1,0,1,0,1,0,1,0
COL5A2,1,1,0,1,0,1,0,1,0
SLC40A1,1,1,0,1,0,1,0,1,0
ASDURF,1,0,0,1,0,0,0,0,0
ANKAR,1,1,0,1,0,1,0,1,0
OSGEPL1.AS1,1,1,0,1,0,0,0,1,0
PMS1,1,0,0,0,0,0,0,0,0
C2orf88,0,1,0,1,0,0,0,0,0
NABP1,1,1,0,1,0,1,0,0,0
TMEFF2,1,1,0,1,0,1,0,1,0
SLC39A10,1,0,0,0,0,1,0,1,0
DNAH7,1,1,0,1,0,1,0,1,0
STK17B,0,1,0,1,0,1,0,0,0
HECW2,0,0,0,1,0,0,0,0,0
CCDC150,1,1,0,1,0,1,0,1,0
HSPD1,0,0,0,0,0,0,0,1,0
HSPE1,1,0,0,1,0,0,0,1,0
MARS2,1,1,0,1,0,1,0,0,0
TYW5,1,1,0,1,0,1,0,1,0
KCTD18,1,0,0,1,0,0,0,0,0
CLK1,1,1,0,1,0,1,0,1,0
CASP10,1,1,0,1,0,1,0,1,0
FLACC1,1,1,0,1,0,1,0,1,0
STRADB,1,1,0,1,0,1,0,1,0
RAPH1,0,0,0,1,0,0,0,0,0
INO80D,0,0,0,1,0,0,0,0,0
AC007383.2,0,0,0,0,0,1,0,0,0
ZDBF2,0,0,0,1,0,0,0,0,0
ADAM23,1,1,0,1,0,1,0,1,0
AC008269.1,1,0,0,0,0,1,0,0,0
CPO,0,0,0,1,0,0,0,1,0
IDH1,1,1,0,1,0,1,0,1,0
PIKFYVE,1,1,0,1,0,1,0,1,0
MAP2,0,1,0,1,0,0,0,0,0
KANSL1L,1,0,0,1,0,0,0,0,0
AC007038.1,0,0,0,0,0,0,0,1,0
KANSL1L.AS1,1,1,0,1,0,1,0,1,0
CPS1,1,1,0,0,0,1,0,1,0
IKZF2,0,0,0,1,0,0,0,0,0
BARD1,1,1,0,1,0,1,0,1,0
MREG,0,1,0,0,0,0,0,0,0
AC012513.3,1,0,0,0,0,0,0,0,0
LINC01963,0,1,0,0,0,0,0,0,0
RPL37A,1,0,0,0,0,0,0,0,0
IGFBP2,1,1,0,1,0,1,0,1,0
IGFBP5,1,1,0,1,0,1,0,1,0
DIRC3,1,1,0,1,0,1,0,1,0
USP37,1,1,0,1,0,1,0,1,0
AC012510.1,1,1,0,1,0,0,0,1,0
ZNF142,1,1,0,1,0,1,0,1,0
RNF25,1,1,0,1,0,1,0,1,0
WNT6,0,0,0,0,0,1,0,0,0
AC097468.3,0,0,0,1,0,0,0,0,0
AC068946.1,0,0,0,0,0,1,0,1,0
ANKZF1,1,1,0,1,0,1,0,1,0
TUBA4A,1,0,0,1,0,0,0,1,0
DNAJB2,1,1,0,1,0,1,0,1,0
SPEG,0,0,0,0,0,0,0,1,0
ASIC4,1,1,0,0,0,1,0,1,0
STK11IP,0,0,0,0,0,1,0,0,0
SLC4A3,0,1,0,0,0,1,0,1,0
PAX3,1,1,0,1,0,1,0,1,0
SCG2,0,1,0,1,0,0,0,0,0
AC093884.1,1,0,0,0,0,1,0,1,0
SERPINE2,1,0,0,1,0,1,0,1,0
CUL3,1,1,0,1,0,1,0,1,0
IRS1,0,0,0,0,0,1,0,0,0
COL4A4,1,0,0,0,0,1,0,0,0
COL4A3,1,0,0,0,0,0,0,0,0
SP140,0,0,0,1,0,0,0,0,0
SPATA3.AS1,1,1,0,1,0,1,0,1,0
AC017104.1,1,1,0,0,0,1,0,1,0
PTMA,0,0,0,0,0,0,0,1,0
AC073476.3,0,0,0,0,0,0,0,1,0
NPPC,1,0,0,0,0,1,0,1,0
TIGD1,1,1,0,1,0,1,0,1,0
EFHD1,1,0,0,1,0,1,0,1,0
SNORC,1,1,0,1,0,1,0,1,0
INPP5D,0,0,0,0,0,1,0,0,0
HJURP,1,1,0,1,0,1,0,1,0
AGAP1,1,1,0,1,0,1,0,1,0
IQCA1.AS1,0,0,0,0,0,0,0,1,0
COL6A3,1,0,0,0,0,1,0,1,0
RAMP1,1,0,0,1,0,0,0,0,0
UBE2F.SCLY,0,0,0,0,0,1,0,0,0
SCLY,1,1,0,1,0,1,0,1,0
ESPNL,0,1,0,1,0,1,0,1,0
KLHL30,0,0,0,0,0,0,0,1,0
ILKAP,1,1,0,0,0,1,0,0,0
ASB1,1,1,0,1,0,1,0,1,0
ANKMY1,1,1,0,1,0,1,0,1,0
DUSP28,1,1,0,1,0,1,0,1,0
CAPN10.DT,0,0,0,1,0,0,0,0,0
CAPN10,1,1,0,0,0,1,0,1,0
GPR35,0,0,0,0,0,1,0,1,0
KIF1A,1,1,0,1,0,1,0,1,0
SNED1,1,0,0,0,0,0,0,1,0
ANO7,0,0,0,0,0,0,0,1,0
HDLBP,1,1,0,1,0,1,0,1,0
SEPTIN2,0,0,0,0,0,0,0,1,0
THAP4,1,1,0,1,0,1,0,1,0
GAL3ST2,1,1,0,0,0,1,0,1,0
AC131097.3,1,0,0,0,0,0,0,0,0
LINC01881,1,1,0,1,0,1,0,1,0
TRNT1,1,1,0,1,0,1,0,1,0
AC024060.2,1,1,0,1,0,1,0,1,0
SETMAR,1,1,0,1,0,1,0,0,0
BHLHE40,1,1,0,1,0,1,0,1,0
EDEM1,1,1,0,1,0,1,0,1,0
LMCD1.AS1,1,1,0,1,0,1,0,1,0
SSUH2,1,1,0,1,0,1,0,1,0
CAV3,0,0,0,0,0,1,0,0,0
OXTR,1,1,0,1,0,1,0,1,0
BRPF1,1,1,0,1,0,1,0,1,0
ARPC4.TTLL3,1,1,0,1,0,1,0,1,0
TTLL3,1,1,0,0,0,1,0,1,0
IL17RE,0,0,0,0,0,1,0,0,0
AC018809.3,0,1,0,1,0,0,0,0,0
CRELD1,0,0,0,0,0,0,0,1,0
PRRT3.AS1,0,0,0,0,0,1,0,0,0
CIDECP1,1,1,0,1,0,1,0,1,0
IRAK2,1,1,0,1,0,1,0,1,0
LINC00852,0,1,0,1,0,1,0,0,0
GHRL,0,1,0,0,0,1,0,1,0
HRH1,0,0,0,0,0,1,0,1,0
VGLL4,1,1,0,1,0,1,0,1,0
TAMM41,1,1,0,1,0,1,0,1,0
TSEN2,1,1,0,1,0,1,0,1,0
CAND2,0,1,0,0,0,0,0,0,0
RPL32,1,0,0,1,0,0,0,1,0
IQSEC1,0,1,0,0,0,1,0,1,0
NUP210,0,0,0,0,0,1,0,0,0
FBLN2,0,0,0,0,0,1,0,0,0
XPC,0,0,0,0,0,0,0,1,0
GRIP2,1,1,0,1,0,1,0,1,0
CCDC174,1,1,0,1,0,1,0,1,0
C3orf20,1,0,0,0,0,0,0,1,0
FGD5.AS1,1,0,0,0,0,0,0,0,0
COL6A4P1,1,1,0,1,0,1,0,1,0
CAPN7,0,0,0,1,0,0,0,0,0
COLQ,1,1,0,1,0,1,0,1,0
BTD,0,0,0,0,0,1,0,0,0
AC090945.1,0,0,0,0,0,1,0,0,0
IMPDH1P8,0,0,0,1,0,0,0,1,0
AC090948.2,1,0,0,0,0,0,0,0,0
AC090948.3,1,0,0,0,0,0,0,1,0
TBC1D5,0,1,0,0,0,1,0,0,0
RPL15,0,0,0,0,0,0,0,1,0
RARB,1,1,0,1,0,1,0,0,0
TOP2B,1,1,0,1,0,1,0,1,0
EOMES,1,1,0,1,0,1,0,1,0
LINC01967,1,1,0,1,0,1,0,1,0
ZCWPW2,1,0,0,0,0,0,0,1,0
AC098650.1,0,0,0,0,0,0,0,1,0
RBMS3,1,1,0,1,0,1,0,1,0
TGFBR2,1,1,0,1,0,1,0,1,0
CNOT10,1,1,0,0,0,1,0,0,0
TMPPE,1,1,0,0,0,1,0,1,0
CRTAP,1,1,0,1,0,1,0,1,0
AC112211.1,0,1,0,0,0,1,0,0,0
AC097359.2,1,1,0,1,0,1,0,0,0
ITGA9,0,0,0,0,0,1,0,0,0
VILL,1,1,0,1,0,1,0,1,0
PLCD1,1,1,0,1,0,1,0,1,0
XYLB,1,1,0,1,0,0,0,1,0
ACVR2B,1,1,0,1,0,1,0,1,0
EXOG,1,1,0,1,0,1,0,1,0
SCN11A,1,1,0,1,0,1,0,1,0
TTC21A,1,1,0,1,0,1,0,1,0
CSRNP1,1,1,0,1,0,1,0,1,0
RPSA,1,0,0,1,0,0,0,0,0
EIF1B.AS1,0,0,0,1,0,0,0,1,0
RPL14,1,1,0,1,0,1,0,1,0
ZNF619,1,1,0,1,0,1,0,1,0
ZNF620,1,1,0,1,0,1,0,1,0
ULK4,1,1,0,1,0,1,0,1,0
VIPR1,1,1,0,1,0,1,0,1,0
NKTR,1,1,0,1,0,1,0,1,0
ZBTB47,1,1,0,1,0,1,0,1,0
LINC02158,1,1,0,1,0,1,0,0,0
AC099329.1,1,0,0,0,0,0,0,0,0
POMGNT2,0,0,0,1,0,0,0,0,0
ZNF852,0,0,0,1,0,0,0,1,0
MPRIPP1,1,1,0,1,0,1,0,1,0
ZNF197,1,1,0,1,0,1,0,1,0
ZNF35,1,1,0,1,0,1,0,1,0
ZNF502,1,1,0,1,0,1,0,1,0
ZNF501,1,1,0,1,0,1,0,1,0
KIF15,1,1,0,1,0,1,0,1,0
TMEM42,0,0,0,0,0,0,0,1,0
CLEC3B,0,0,0,1,0,0,0,0,0
TMEM158,0,0,0,1,0,0,0,0,0
FYCO1,1,1,0,1,0,1,0,1,0
ALS2CL,1,1,0,1,0,1,0,1,0
NBEAL2,1,1,0,1,0,0,0,0,0
SETD2,1,0,0,1,0,0,0,0,0
AC099778.1,1,1,0,0,0,1,0,0,0
CSPG5,0,0,0,0,0,1,0,0,0
CDC25A,1,1,0,1,0,1,0,0,0
ZNF589,1,1,0,1,0,1,0,1,0
NME6,1,1,0,1,0,1,0,1,0
ATRIP,1,1,0,1,0,1,0,1,0
UCN2,0,1,0,0,0,1,0,0,0
COL7A1,0,1,0,1,0,0,0,0,0
NCKIPSD,1,1,0,1,0,1,0,1,0
IP6K2,1,1,0,1,0,1,0,1,0
ARIH2OS,1,1,0,1,0,1,0,1,0
C3orf62,1,1,0,1,0,1,0,1,0
USP4,1,1,0,1,0,0,0,1,0
RHOA,1,0,0,0,0,0,0,1,0
DAG1,1,1,0,1,0,1,0,1,0
BSN,1,0,0,1,0,0,0,1,0
MST1,1,1,0,1,0,1,0,1,0
UBA7,1,1,0,0,0,1,0,0,0
TRAIP,1,1,0,1,0,1,0,1,0
RBM6,1,1,0,1,0,1,0,0,0
RBM5,1,1,0,1,0,1,0,1,0
GNAI2,1,1,0,1,0,0,0,1,0
U73166.1,0,0,0,0,0,0,0,1,0
SEMA3B,0,0,0,0,0,1,0,1,0
RASSF1,1,1,0,1,0,1,0,1,0
ZMYND10,0,0,0,0,0,0,0,1,0
CISH,0,1,0,0,0,1,0,0,0
DOCK3,1,1,0,1,0,1,0,1,0
PARP3,0,0,0,1,0,0,0,0,0
ABHD14A.ACY1,0,0,0,0,0,0,0,1,0
DUSP7,0,0,0,1,0,1,0,1,0
WDR82,1,0,0,0,0,0,0,1,0
DNAH1,0,0,0,0,0,1,0,1,0
PHF7,0,0,0,0,0,1,0,0,0
SEMA3G,1,1,0,1,0,1,0,1,0
NISCH,1,1,0,1,0,1,0,1,0
ITIH4,0,1,0,1,0,0,0,0,0
STIMATE.MUSTN1,1,0,0,0,0,0,0,0,0
STIMATE,1,1,0,1,0,1,0,1,0
DCP1A,1,1,0,1,0,1,0,1,0
CACNA1D,0,0,0,0,0,0,0,1,0
IL17RB,0,1,0,0,0,0,0,0,0
AC115282.2,1,1,0,1,0,1,0,1,0
CACNA2D3,1,1,0,1,0,1,0,1,0
WNT5A,1,1,0,1,0,1,0,1,0
ERC2,1,1,0,1,0,1,0,1,0
CCDC66,1,1,0,1,0,1,0,1,0
ARHGEF3,1,1,0,1,0,1,0,1,0
IL17RD,1,1,0,1,0,1,0,1,0
FLNB,1,1,0,0,0,1,0,0,0
RPP14,1,1,0,1,0,1,0,1,0
HTD2,1,1,0,1,0,1,0,1,0
ATXN7,1,1,0,1,0,1,0,1,0
PRICKLE2,1,1,0,1,0,1,0,1,0
ADAMTS9,0,0,0,0,0,1,0,0,0
LRIG1,1,1,0,1,0,1,0,1,0
FRMD4B,1,1,0,1,0,1,0,1,0
RYBP,1,1,0,1,0,1,0,1,0
GXYLT2,1,1,0,0,0,1,0,1,0
AC117489.1,1,1,0,1,0,1,0,1,0
HNRNPA3P6,0,1,0,1,0,1,0,1,0
FAM86DP,1,1,0,1,0,1,0,1,0
ENPP7P2,1,0,0,0,0,0,0,0,0
LINC00960,0,1,0,1,0,0,0,0,0
ZNF717,1,0,0,1,0,0,0,1,0
ROBO1,1,1,0,1,0,1,0,1,0
CADM2,0,1,0,0,0,0,0,0,0
VGLL3,0,0,0,0,0,1,0,1,0
ZNF654,1,1,0,1,0,1,0,1,0
C3orf38,1,1,0,1,0,1,0,1,0
AC109129.1,0,1,0,0,0,1,0,0,0
PROS1,0,0,0,0,0,1,0,0,0
ARL13B,1,0,0,0,0,0,0,0,0
HNRNPKP4,0,0,0,0,0,0,0,1,0
DCBLD2,1,1,0,1,0,1,0,1,0
COL8A1,0,1,0,0,0,0,0,0,0
FILIP1L,1,1,0,1,0,1,0,1,0
ABI3BP,0,1,0,1,0,1,0,0,0
SENP7,1,1,0,1,0,1,0,1,0
AC073861.1,1,0,0,0,0,0,0,0,0
ZBTB11,1,1,0,1,0,1,0,1,0
CEP97,1,0,0,1,0,0,0,1,0
NXPE3,1,1,0,1,0,1,0,1,0
