,U1-mut2-100-CHX_vs_DMSO,U1-mut2-100-CHX_vs_DMSO-CHX,U1-mut2-100-CHX_vs_mut2-100,U1-mut2-100-EtOH_vs_DMSO,U1-mut2-100-CHX_vs_WT_EtOH,U1-mut2-100-CHX_vs_WT_CHX,U1-mut2-100-EtOH_vs_WT_EtOH,U1-mut2-500-CHX_vs_DMSO,U1-mut2-500-CHX_vs_DMSO-CHX,U1-mut2-500-CHX_vs_mut5-500,U1-mut2-500-EtOH_vs_DMSO,U1-mut2-500-CHX_vs_WT_EtOH,U1-mut2-500-CHX_vs_WT_CHX,U1-mut2-500-EtOH_vs_WT_EtOH
MB21D2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
ATP13A4,0,0,1,0,1,0,0,0,0,0,0,0,0,0
HES1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
ATP13A3,1,0,1,0,1,0,0,1,0,1,0,1,0,0
TMEM44.AS1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
TMEM44,1,0,1,0,1,0,0,0,0,1,0,1,0,0
LSG1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FAM43A,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MUC20P1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
MUC20.OT1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
SDHAP2,1,0,0,0,0,0,0,1,0,1,0,0,0,0
MUC4,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AC124944.2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
SDHAP1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
TFRC,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC069257.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
WDR53,1,0,1,0,1,0,0,1,0,0,0,0,0,0
PIGZ,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MELTF.AS1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DLG1.AS1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
AC132008.2,1,0,1,0,1,0,0,0,0,1,0,0,0,0
AC135893.1,0,0,1,0,1,0,0,0,0,1,0,1,0,0
ANKRD18DP,1,0,1,0,1,0,0,1,0,1,0,1,0,0
FAM157A,0,0,0,0,0,0,0,1,0,1,0,1,0,0
ABCA11P,1,0,1,0,1,0,0,1,0,0,0,1,0,0
ZNF721,1,0,1,0,1,0,0,1,0,1,0,1,0,0
PIGG,1,0,1,0,0,0,0,0,0,0,0,0,0,0
MYL5,1,0,1,0,1,0,0,1,0,1,0,1,0,0
CPLX1,0,0,0,0,0,0,0,0,1,0,1,0,1,1
DGKQ,1,0,1,0,1,0,0,1,0,1,0,1,0,0
FGFRL1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
CTBP1.AS,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CTBP1,1,0,0,0,1,0,0,1,0,1,0,1,0,0
UVSSA,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FAM53A,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC016773.2,0,0,0,0,0,0,0,0,0,1,0,1,0,0
FGFR3,0,0,1,0,0,0,0,1,0,1,0,1,0,0
LETM1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
C4orf48,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NAT8L,1,0,1,0,1,0,0,1,0,1,0,1,0,0
POLN,1,0,1,0,1,0,0,0,0,1,0,1,0,0
HAUS3,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AL136360.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MXD4,0,0,0,0,0,0,0,1,0,1,0,1,0,0
ZFYVE28,1,0,1,0,1,0,0,0,0,1,0,1,0,0
FAM193A,1,0,1,0,1,0,0,1,0,1,0,1,0,0
HTT,1,0,1,0,1,0,0,1,0,1,0,1,0,0
LINC02600,1,0,1,0,1,0,0,1,0,0,0,1,0,0
FAM86EP,0,0,1,0,1,0,0,0,0,0,0,0,0,0
TMEM128,1,0,1,0,1,0,0,1,0,1,0,1,0,0
ZBTB49,1,0,1,0,1,0,0,1,0,1,0,1,0,0
NSG1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
AC092437.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MSX1,0,0,1,0,1,0,0,1,0,1,0,1,0,0
CRMP1,0,0,0,0,0,0,0,0,1,0,1,1,1,1
JAKMIP1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
LINC02495,0,0,1,0,1,0,0,1,0,1,0,1,0,0
AC116317.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PPP2R2C,0,0,1,0,1,0,0,1,0,1,0,1,0,0
AC093323.1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
LINC02481,1,0,1,0,1,0,0,1,0,1,0,1,0,0
KIAA0232,1,0,1,0,1,0,0,1,0,1,0,1,0,0
TBC1D14,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC097382.2,0,0,0,0,0,0,0,1,0,0,0,1,0,0
CCDC96,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AFAP1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
ABLIM2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC104825.1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
TRMT44,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC105345.1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
AC108519.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AC073648.7,1,0,0,0,0,0,0,1,0,1,0,1,0,0
AC005674.2,0,0,0,0,0,0,0,1,0,1,0,1,0,0
AC007370.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BOD1L1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
FBXL5,1,0,1,0,1,0,0,0,0,0,0,0,0,0
BST1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
FGFBP1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TAPT1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
TAPT1.AS1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
LDB2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
LAP3,0,0,0,0,0,0,0,1,0,0,0,1,0,0
MED28,1,0,1,0,0,0,0,0,0,0,0,0,0,0
SLIT2,1,0,0,0,0,0,0,1,0,0,0,0,0,0
SLIT2.IT1,1,0,1,0,1,0,0,0,0,1,0,0,0,0
ADGRA3,1,0,1,0,1,0,0,1,0,1,0,1,0,0
PPARGC1A,1,0,1,0,1,0,0,1,0,1,0,1,0,0
CCDC149,1,0,1,0,0,0,0,1,0,0,0,0,0,0
SEPSECS,1,0,1,0,1,0,0,1,0,1,0,1,0,0
ZCCHC4,1,0,1,0,1,0,0,1,0,1,0,1,0,0
SEL1L3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ARAP2,0,0,0,0,0,0,0,1,0,1,0,0,0,0
RELL1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC021106.1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
TLR1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
TLR6,0,0,1,0,1,0,0,0,0,0,0,0,0,0
FAM114A1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
TMEM156,1,0,1,0,0,0,0,1,0,0,0,0,0,0
WDR19,0,0,0,0,0,0,0,0,0,1,0,0,0,0
LIAS,1,0,1,0,1,0,0,1,0,1,0,1,0,0
UGDH,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SMIM14,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AC108471.3,0,0,0,0,1,0,0,1,0,0,0,1,0,0
AC095057.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RBM47,1,0,1,0,1,0,0,1,0,1,0,1,0,0
UCHL1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DCAF4L1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
AC106052.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SHISA3,1,0,1,0,1,0,0,1,0,1,0,1,0,0
RAC1P2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AC107398.5,0,0,0,0,0,0,0,1,0,0,0,1,0,0
CORIN,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AC107068.1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
NFXL1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
NIPAL1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
TXK,0,0,0,0,0,0,0,0,0,1,0,1,0,0
AC119751.3,1,0,1,0,1,0,0,1,0,1,0,1,0,0
ANKRD20A17P,1,0,1,0,1,0,0,1,0,1,0,1,0,0
LRRC66,0,0,0,0,0,0,0,1,0,0,0,0,0,0
USP46,1,0,1,0,1,0,0,1,0,1,0,1,0,0
DANCR,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PDGFRA,1,0,1,0,1,0,0,1,0,1,0,1,0,0
KIT,1,0,1,0,1,0,0,1,0,1,0,1,0,0
SRD5A3,0,0,0,0,0,0,0,1,0,0,0,1,0,0
NMU,0,0,0,0,0,0,0,1,0,1,0,1,0,0
CEP135,0,0,0,0,0,0,0,1,0,1,0,1,0,0
CRACD,1,0,1,0,0,0,0,1,0,1,0,1,0,0
AASDH,1,0,1,0,1,0,0,0,0,1,0,0,0,0
AC068620.1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
PAICS,0,0,1,0,1,0,0,0,0,0,0,1,0,0
ARL9,0,0,1,0,0,0,0,1,0,1,0,1,0,0
HOPX,0,0,0,0,0,0,0,1,0,1,0,1,0,0
POLR2B,1,0,1,0,1,0,0,0,0,1,0,1,0,0
IGFBP7,1,0,0,0,1,0,0,1,0,0,0,1,0,0
AC115223.1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
EPHA5.AS1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AC116049.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AC104806.2,0,0,0,0,1,0,0,0,0,1,0,1,0,0
CENPC,1,0,1,0,1,0,0,1,0,1,0,1,0,0
UBA6.AS1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
YTHDC1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
UGT2B4,0,0,0,0,0,0,0,1,0,0,0,0,0,0
UTP3,1,0,0,0,0,0,0,1,0,1,0,0,0,0
COX18,1,0,1,0,1,0,0,1,0,1,0,1,0,0
RASSF6,0,0,1,0,1,0,0,1,0,0,0,1,0,0
CXCL8,1,0,0,0,0,0,0,1,0,0,0,0,0,0
AC093677.2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AREG,1,0,1,0,1,0,0,1,0,1,0,1,0,0
USO1,1,0,0,0,1,0,0,1,0,0,0,1,0,0
NAAA,1,0,1,0,1,0,0,1,0,1,0,1,0,0
FAM47E.STBD1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SEPTIN11,1,0,1,0,1,0,0,1,0,1,0,1,0,0
CCNI,1,0,1,0,1,0,0,1,0,1,0,1,0,0
CCNG2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FRAS1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
SERBP1P5,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PRDM8,0,0,0,0,0,0,0,1,1,0,0,0,0,0
RASGEF1B,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC124016.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SCD5,0,0,0,0,0,0,0,1,0,1,0,1,0,0
THAP9.AS1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
THAP9,1,0,1,0,1,0,0,1,0,1,0,1,0,0
HELQ,1,0,1,0,1,0,0,1,0,1,0,1,0,0
MRPS18C,1,0,1,0,1,0,0,1,0,1,0,1,0,0
ABRAXAS1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
SLC25A14P1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
GPAT3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AC079160.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
WDFY3.AS2,0,0,0,0,0,0,0,1,0,0,0,1,0,0
PTPN13,1,0,0,0,0,0,0,1,0,0,0,0,0,0
SLC10A6,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AC093827.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0
TECRP1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
KLHL8,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HSD17B13,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC108516.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PPM1K,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HERC3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM13A.AS1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
TIGD2,0,0,1,0,1,0,0,0,0,0,0,0,0,0
GPRIN3,0,0,0,0,0,0,0,1,0,1,0,1,0,0
AC093866.1,1,0,0,0,0,0,0,1,1,0,1,0,0,0
SNCA,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CCSER1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BMPR1B,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AC106881.1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
RPL5P12,0,0,1,0,0,0,0,0,0,0,0,1,0,0
DDIT4L,0,0,0,0,0,0,0,1,0,1,0,1,0,0
SLC39A8,0,0,0,0,0,0,0,1,0,1,0,1,0,0
MANBA,1,0,1,0,1,0,0,1,0,1,0,1,0,0
LRRC37A15P,0,0,0,0,1,0,0,0,0,0,0,0,0,0
KRT8P46,1,0,1,0,1,0,0,1,0,1,0,1,0,0
LINC02428,1,0,1,0,1,0,0,1,0,1,0,1,0,0
TACR3,1,0,1,0,1,0,0,1,0,1,0,1,0,0
CXXC4,0,0,1,0,1,0,0,0,0,1,0,1,0,0
TET2,0,0,1,0,1,0,0,0,0,0,0,0,0,0
PPA2,0,0,0,0,0,0,0,1,0,0,0,1,0,0
TBCK,1,0,1,0,1,0,0,1,0,1,0,1,0,0
DKK2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SGMS2,0,0,0,0,0,0,0,1,0,1,0,1,0,0
AC096564.1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
HADH,0,0,0,0,0,0,0,0,0,0,0,1,0,0
RPL34,0,0,1,0,1,0,0,0,0,1,0,0,0,0
AC107071.1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
COL25A1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
SEC24B.AS1,0,0,0,0,0,0,0,1,1,0,1,1,1,1
MCUB,1,0,1,0,1,0,0,1,0,0,0,1,0,0
PLA2G12A,1,0,1,0,1,0,0,1,0,1,0,1,0,0
RRH,0,0,0,0,0,0,0,1,0,0,0,0,0,0
LRIT3,0,0,0,0,0,0,0,1,0,1,0,1,1,0
EGF,0,0,0,0,1,0,0,1,0,0,0,1,0,0
ELOVL6,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PITX2,1,0,1,0,1,0,0,1,0,0,0,1,0,0
AC109347.1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ZGRF1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
ANK2,1,0,0,0,0,0,0,1,0,0,0,0,0,0
AC017007.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC004057.1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
ARSJ,0,0,1,0,0,0,0,0,0,1,0,0,0,0
TRAM1L1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
NDST3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AC110079.1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
METTL14,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC092656.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GTF2IP12,0,0,1,0,1,0,0,1,0,1,0,1,0,0
AC093752.1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
PDE5A,1,0,1,0,1,0,0,1,0,1,0,1,0,0
NDNF,1,0,1,0,1,0,0,1,0,1,0,1,0,0
ANXA5,0,0,0,0,0,0,0,0,0,0,0,1,0,0
TMEM155,0,0,0,0,0,0,0,1,0,1,0,0,0,0
CCNA2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
TRPC3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
KIAA1109,1,0,1,0,1,0,0,0,0,1,0,1,0,0
CETN4P,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BBS12,1,0,1,0,1,0,0,0,0,1,0,1,0,0
AC021205.3,1,0,1,0,1,0,0,1,0,1,0,1,0,0
SPRY1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
FAT4,0,0,1,0,0,0,0,0,0,1,0,0,0,0
SLC25A31,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MFSD8,1,0,1,0,1,0,0,1,0,1,0,1,0,0
LINC02615,1,0,1,0,1,0,0,1,0,1,0,1,0,0
JADE1,1,0,1,0,1,0,0,0,0,0,0,1,0,0
AC105383.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PCDH10,0,0,1,0,0,0,0,1,0,1,0,1,0,0
AC015631.1,1,0,1,0,1,0,0,1,0,0,0,1,0,0
SLC7A11,1,0,1,0,1,0,0,1,0,1,1,1,0,0
NOCT,1,0,1,0,1,0,0,1,0,1,0,1,0,0
MGARP,0,0,0,0,0,0,0,1,0,0,0,1,0,0
RAB33B,1,0,1,0,1,0,0,1,0,1,0,1,0,0
H3P16,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CLGN,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AC096733.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
INPP4B,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC098588.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HHIP,0,0,0,0,0,0,0,1,0,0,0,1,0,0
OTUD4,1,0,0,0,0,0,0,1,0,1,0,1,0,0
SMAD1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
ZNF827,1,0,1,0,1,0,0,1,0,1,0,1,0,0
POU4F2,1,0,0,0,1,0,0,1,0,0,0,1,0,1
PRMT9,1,0,1,0,1,0,0,1,0,1,0,1,0,0
ARHGAP10,1,0,1,0,0,0,0,1,0,0,0,0,0,0
NR3C2,1,0,1,0,1,0,0,0,0,0,0,1,0,0
DCLK2,1,0,1,0,1,0,0,1,0,0,1,1,0,1
LRBA,0,0,0,0,0,0,0,1,0,0,0,1,0,0
RPS3A,0,0,0,0,0,0,0,0,0,1,0,1,0,0
AC095055.1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
AC104819.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FAM160A1,1,0,0,0,1,0,0,1,0,0,0,1,0,0
TIGD4,1,0,1,0,1,0,0,1,0,1,0,1,0,0
TRIM2,1,0,1,0,0,0,0,1,0,1,0,1,0,0
DCHS2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MAP9,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FSTL5,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MSMO1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
CPE,1,0,1,0,1,0,0,1,0,1,0,0,0,0
SPOCK3,0,0,0,0,0,0,0,1,0,0,0,1,0,0
MFAP3L,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AADAT,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC034159.2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC105285.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GPM6A,1,0,1,0,0,0,0,1,0,1,0,1,0,0
SPCS3,1,0,1,0,0,0,0,1,0,1,0,1,0,0
VEGFC,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NEIL3,1,0,1,0,1,0,0,1,0,1,0,1,0,0
TENM3,1,0,1,0,1,0,0,1,0,1,0,1,0,0
WWC2.AS2,1,0,1,0,0,0,0,1,0,0,0,0,0,0
CDKN2AIP,1,0,1,0,1,0,0,1,0,1,0,1,0,0
ING2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC074194.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
AC099343.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CASP3,1,0,1,0,1,0,0,1,0,1,0,1,0,0
SLC25A4,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ANKRD37,1,0,1,0,1,0,0,1,0,0,0,1,0,0
MTNR1A,0,0,0,0,0,0,0,1,0,1,0,1,0,0
PLEKHG4B,0,0,0,0,1,0,0,0,0,0,0,1,0,0
AC021087.5,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC021087.1,0,0,0,0,0,0,0,1,0,0,1,1,0,1
SLC9A3.AS1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
CEP72,1,0,1,0,1,0,0,1,0,1,0,1,0,0
ZDHHC11B,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC026740.3,0,0,0,0,0,0,0,1,0,1,0,1,0,0
ZDHHC11,0,0,0,0,0,0,0,1,0,1,0,1,0,0
BRD9,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC116351.1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
TERT,1,0,1,0,1,0,0,1,0,1,0,1,0,0
LPCAT1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC091849.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SDHAP3,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC091978.1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
LINC02145,1,0,0,0,0,0,0,1,0,1,0,1,0,0
MED10,1,0,1,0,0,0,0,1,0,0,0,1,0,0
UBE2QL1,0,0,1,0,0,0,0,1,0,1,0,1,0,0
LINC02236,0,0,0,0,1,0,0,0,0,1,0,1,0,0
FASTKD3,1,0,1,0,1,0,0,1,0,1,0,1,0,0
CMBL,0,0,0,0,0,0,0,1,0,1,0,1,0,0
AC012640.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MARCHF6,1,0,0,0,0,0,0,1,0,0,0,0,0,0
ANKRD33B,0,0,0,0,0,0,0,1,0,1,0,1,0,0
LINC01194,1,0,1,0,1,0,0,0,0,1,0,0,0,0
EEF1A1P13,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ANKH,1,0,0,0,0,0,0,1,0,0,0,1,0,0
ZNF622,1,0,1,0,1,0,0,1,0,1,0,0,0,0
MYO10,0,0,1,0,0,0,0,1,0,0,0,1,0,0
LINC02241,0,0,1,0,1,0,0,0,0,0,0,0,0,0
GUSBP1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC091946.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CDH12,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HSPD1P1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
PRDM9,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GOLPH3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC025181.2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
NPR3,0,0,0,0,0,0,0,1,0,0,0,1,0,0
AC010343.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SLC45A2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
C1QTNF3,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC138409.2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC026801.2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
BRIX1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
SPEF2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
UGT3A2,1,0,0,0,1,0,0,1,0,1,0,1,0,0
SLC1A3,0,0,0,0,0,0,0,1,0,0,0,1,0,0
AC008957.3,1,0,1,0,1,0,0,0,0,0,0,0,0,0
AC026741.1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
CPLANE1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
AC025449.1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
GDNF,1,0,1,0,1,0,0,1,1,1,0,1,1,0
EGFLAM,0,0,0,0,0,0,0,1,0,0,0,0,0,0
LIFR,1,0,1,0,0,0,0,1,0,1,0,1,0,0
PTGER4,1,0,1,0,1,0,0,1,0,1,0,1,0,0
C5orf51,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AC008875.2,0,0,0,0,0,0,0,1,0,0,0,1,1,0
AC008875.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AC025171.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ANXA2R,1,0,1,0,1,0,0,1,0,1,0,1,0,0
ZNF131,1,0,1,0,1,0,0,1,0,1,0,1,0,0
HMGCS1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC114947.2,0,0,0,0,0,0,0,1,0,0,0,1,0,0
CCL28,0,0,0,0,0,0,0,1,1,0,1,1,1,1
C5orf34,1,0,1,0,1,0,0,1,0,1,0,1,0,0
EEF1A1P19,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NNT,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MRPS30.DT,0,0,0,0,0,0,0,0,0,0,0,1,0,0
EMB,0,0,0,0,0,0,0,1,0,0,0,1,0,0
PARP8,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ISL1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ITGA1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
ITGA2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
MOCS2,1,0,1,0,1,0,0,0,0,0,0,0,0,0
AC025175.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
AC016583.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ESM1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
GPX8,1,0,1,0,1,0,0,1,0,1,0,1,0,0
MCIDAS,1,0,1,0,1,0,0,1,0,1,0,1,0,0
CCNO,1,0,0,0,1,0,0,0,0,1,0,1,0,0
DDX4,0,0,0,0,0,0,0,1,0,0,0,1,0,0
IL31RA,0,0,0,0,0,0,0,1,0,0,0,1,0,0
IL6ST,0,0,0,0,0,0,0,1,0,1,0,1,0,0
AC016596.1,1,0,0,1,1,0,1,1,1,0,1,1,1,1
RPL26P19,0,0,0,0,1,0,0,0,0,0,0,1,0,0
MAP3K1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
PLK2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
RAB3C,0,0,0,0,0,0,0,0,0,0,0,0,1,1
GNL3LP1,0,0,0,0,0,0,0,1,1,0,1,1,1,1
ZSWIM6,1,0,1,0,1,0,0,1,0,1,0,1,0,0
ISCA1P1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CWC27,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ADAMTS6,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC025176.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SHLD3,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC025442.2,0,0,0,0,0,0,0,1,0,0,0,1,0,0
SREK1,1,0,1,0,0,0,0,1,0,1,0,1,0,0
AC024581.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CCNB1,0,0,1,0,1,0,0,0,0,1,0,1,0,0
AC022107.1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
CFL1P5,0,0,1,0,0,0,0,0,0,0,0,1,0,0
TAF9,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MARVELD2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
