,BIO2197294-CHX_vs_DMSO,BIO2197294-CHX_vs_DMSO-CHX,BIO2197294-CHX_vs_7294,BIO2197294-EtOH_vs_DMSO,BIO2197294-EtOH_vs_U1_WT100_EtOH,BIO2197294-EtOH_vs_U1_WT500_EtOH,BIO2197294-CHX_vs_U1_WT100_CHX,BIO2197294-CHX_vs_U1_WT500_CHX,BIO2197294-EtOH_vs_U1_U1_mut1_100_EtOH,BIO2197294-EtOH_vs_U1_U1_mut1_500_EtOH,BIO2197294-CHX_vs_U1_U1_mut1_100_CHX,BIO2197294-CHX_vs_U1_U1_mut1_500_CHX,BIO2197294-EtOH_vs_U1_U1_mut2_100_EtOH,BIO2197294-EtOH_vs_U1_U1_mut2_500_EtOH,BIO2197294-CHX_vs_U1_U1_mut2_100_CHX,BIO2197294-CHX_vs_U1_U1_mut2_500_CHX
EGF,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
PITX2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZGRF1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ANK2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ARSJ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC110079.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
METTL14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GTF2IP12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC093752.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NDNF,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TRPC3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIAA1109,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CETN4P,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
BBS12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC021205.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FAT4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MFSD8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02615,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
JADE1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PCDH10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC015631.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC7A11,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
NOCT,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RAB33B,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC112236.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
INPP4B,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HHIP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMAD1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF827,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PRMT9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ARHGAP10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NR3C2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DCLK2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
AC095055.1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
TIGD4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIM2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MSMO1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CPE,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MFAP3L,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AADAT,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC034159.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLRA3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GPM6A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VEGFC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEIL3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TENM3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WWC2.AS2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDKN2AIP,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ING2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC074194.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02365,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CASP3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ANKRD37,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC021087.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC021087.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SLC9A3.AS1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CEP72,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TPPP,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZDHHC11B,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC026740.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BRD9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TERT,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC026748.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
LPCAT1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC091849.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SDHAP3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC091978.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MED10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UBE2QL1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02236,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FASTKD3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ANKRD33B,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01194,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF622,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BASP1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
GUSBP1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PURPL,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
AC025178.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GOLPH3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC025181.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
C1QTNF3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC138409.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC026801.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BRIX1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SPEF2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC026741.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NIPBL.DT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPLANE1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GDNF,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
LIFR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PTGER4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
C5orf51,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC008875.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ANXA2R,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF131,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HMGCS1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CCL28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
C5orf34,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EEF1A1P19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PARP8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITGA2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ARL15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESM1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GPX8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MCIDAS,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CCNO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC016596.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
MAP3K1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PLK2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GNL3LP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ZSWIM6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAMTS6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SHLD3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
SREK1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CCNB1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NAIPP3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GUSBP3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC131392.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NAIPP2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC138866.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC138866.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GTF2H2B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAIPP1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NAIP,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OCLNP1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NAIPP4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GUSBP9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PTCD2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UTP15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ARHGEF28,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GCNT4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ANKRD31,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
HMGCR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
POLK,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
POC5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SV2C,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
F2R,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
F2RL1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AGGF1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PDE8B,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RPL7P23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCAMP1.AS1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LHFPL2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
JMY,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TENT2,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0
CMYA5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MTX3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC012636.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC008771.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DHFR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPS23,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ATP6AP1L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
VCAN,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EDIL3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC010595.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
COX7C,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RASA1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TMEM161B,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MBLAC2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ADGRV1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ARRDC3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ARRDC3.AS1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NR2F1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FAM172A,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
KIAA0825,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SLF1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RFESD,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GLRX,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PCSK1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
RIOK2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SLCO6A1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00491,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EIF3KP1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GIN1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NUDT12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC008467.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MAN2A1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EPB41L4A.AS1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
YTHDC2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNN2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SEMA6A.AS1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SRFBP1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF474,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PPIC,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PRDM6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF608,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
FBN2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC27A6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAMTS19,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0
MINAR2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RAPGEF6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FNIP1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC22A4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IRF1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
KIF3A,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SOWAHA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LEAP2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CDKL3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CATSPER3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC109439.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HNRNPA0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM13B,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BRD8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GFRA3,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
FAM53C,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EGR1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LRRTM2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SNHG4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HBEGF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SLC4A9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ANKHD1.EIF4EBP3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
APBB3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CD14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TMCO6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WDR55,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DND1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HARS2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TAF7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC005618.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCDHGA7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PCDHGB7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PCDHGC3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCHSD1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPRY4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
KCTD16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
PLAC8L1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
POU4F3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TCERG1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
JAKMIP2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SPINK5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC011346.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FBXO38,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PCYOX1L,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
AC131025.1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
AC021078.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ARHGEF37,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TIGD6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HMGXB3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PDGFRB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NDST1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IRGM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANXA6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM2A,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC011337.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPARC,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RPLP1P6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
AC091982.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
HAVCR1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ADAM19,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SOX30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
THG1L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNF145,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC134043.2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
LINC01932,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
AC008691.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IL12B,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FABP6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCNJL,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZBED8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PTTG1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GABRG2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCNG1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RARS1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
KCNIP1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RANBP17,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FBXW11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NEURL1B,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC022217.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUSP1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CREBRF,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BNIP1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
STC2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
LINC01411,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MSX2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
DRD1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CPLX2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
AC139491.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC139493.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ARL10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SNCB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UNC5A,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
UIMC1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF346,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC145098.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DOK3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM193B,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC139795.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC106795.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM153CP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
RMND5B,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PHYKPL,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CLK4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
ZNF354A,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF354B,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZFP2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF879,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
ZNF354C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ADAMTS2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RUFY1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CANX,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MRNIP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNF130,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC022413.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HEIH,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIM7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RACK1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC138035.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01622,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01011,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
RIPK1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TUBB2A,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PXDC1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PPP1R3G,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SSR1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BMP6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PAK1IP1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MAK,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SYCP2L,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NEDD9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TMEM170B,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AL008729.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GFOD1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AL441883.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNF182,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL137003.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
STMND1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NUP153,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
KIF13A,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LNC.LBCS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ID4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SOX4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CMAHP,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
H1.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
H2AC6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
H2BC5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
H2BC6,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
AL031777.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
H2AC7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H4C5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
H2BC8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3C6,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
H1.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
H4C8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTN3A2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTN2A3P,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTN3A3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTN2A1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GUSBP2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AL021807.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
H2BC11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
H2AC11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
H2AC12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF391,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
