Genes,NGN2.BIO1755497.00040nM,NGN2.BIO2006152.00150nM,NGN2.BIO2059811.00870nM,NGN2.BIO2135644.01000nM,NGN2.BIO2136770.00300nM,NGN2.BIO1949634.03000nM,NGN2.BIO2060573.03000nM,NGN2.BIO2070692.01680nM
CDCA4,0.487102311001107,0,0,0.607782241186313,0,0,0.532475422775432,0.466375687057022
SNHG15,0,0.367,0,0.415,0.348,0,0.439,0.524
PCID2,0,0,0.40356030745957,0.347520530659356,0.125,0.490556757206045,0.339112091361235,0.377307458912736
MGRN1,0,0.103,0.523,0.361095432369962,0.199,0.516275166610287,0.11,0.256428949217894
NR6A1,0,0.173037896900418,0.483117591808283,0.387242017636619,0.30257808658304,0.473007560031126,0,0.245086120245439
JAZF1,0.265931357688415,0.240464945321137,0.227155997840739,0.383323884390154,0,0.320337410978582,0.321071170860611,0.30472117331634
FGF9,0,0,0.496316487581832,0.349202897549634,0,0.343482774733139,0.436125505022123,0.433109836461105
MEAK7,0.411558958428707,0.253684729490318,0.103,0.384975798914477,0,0.23861046815728,0.285,0.380351445976708
QKI,0,0,0.598832525115908,0.336066355202775,0,0.671309324256782,0,0.441
FASTKD2,0,0,0.64303646550692,0.255758439328421,0,0.541532140506981,0.186350271340291,0.418652887884098
PPP3CA,0,0.103341902855438,0.286755709339576,0.404448137693532,0,0.284818860069408,0.521576557968297,0.437865522922667
APAF1,0,0,0.467738646530295,0.501632623523401,0,0.448295565003531,0.351236868701337,0.265850765635005
ANXA6,0,0.372,0.387881656019105,0,0.351,0.392,0,0.521
RBFOX1,0.132842743907671,0.232,0.282879008884176,0.309716690190331,0.1243973827707,0.380898692663987,0.265717923644253,0.283754107602939
MAP6,0,0.309240398891012,0.313625148567505,0.196438812535044,0.287741038763633,0.28364409123098,0.317315913042621,0.292751584709444
IL6ST,0,0.117011832162955,0.427184987923491,0.410600455330282,0,0.438329459471086,0.398190249078377,0.208874156285974
CCNT2,0,0.261088401196463,0.239013415983872,0.336390761373372,0.220147363021432,0.269273334947059,0.307826905165031,0.365368977828114
NSUN4,0,0.212276389562326,0,0,0,0.854601481353293,0.305367881654711,0.620109691614445
TTC7B,0,0,0.526048082826749,0.353228385496629,0,0.572135854542102,0.209795256540214,0.324732285422076
ZNF66,0,0,0,0.771944294524675,0.307574755880716,0.904414033803424,0,0
DUS4L-BCAP29,0,0,0.35987340497139,0.337627517265562,0,0.718764888954701,0.275266330336693,0.287566373808908
UNC13A,0,0,0.563493626844078,0.521985953370139,0.209040115823874,0.568006722298864,0,0.11400564488796
KIF1A,0,0.129746083805564,0.46954526959393,0.304811359050057,0.162906820321663,0.500348041448829,0.155661067218357,0.245034607613259
PPP4C,0.284,0.253,0.233,0.268,0.206,0.241,0.235,0.246
GPATCH2L,0.13,0,0.664,0.223,0.154,0.644,0,0.15
TMEM53,0.181,0.368815096374329,0.232,0.181,0.23,0.216581655507494,0.192,0.358694618510801
STAT1,0,0,0.444,0.326,0,0.923,0,0.265324849550899
CDK5RAP2,0.239,0.319,0.357,0.245041420778791,0.237,0.32,0,0.24
SGCZ,0.129,0,0.644314737272738,0.469968007631532,0,0.7097400125895,0,0
LDAH,0,0.376974913662822,0.515595681384058,0.503352120326339,0,0.425475045850071,0,0.128
HDAC2-AS2,0.323392065177446,0,0.398245632222125,0.382683886319876,0,0.212399267661805,0.318832924386476,0.308511765649767
NAV2,0,0.12642258080362,0.299,0.271337928579477,0.638433144662841,0.220458502045411,0.18,0.20455659624452
RBMS3,0.236261818488689,0,0.285517998281777,0.289565060384693,0.223,0.329149292514502,0.215871210459297,0.360747684986494
LINC00630,0,0,0.633899811032812,0.3365279769946,0,0.75523934416235,0.196023581900872,0
SLC2A13,0,0,0.510591508070051,0.312704923948063,0,0.484878618178614,0.367899687256589,0.243519643566746
AC009022.1,0,0.967968561662615,0,0,0.939564553442483,0,0,0
ODF2L,0.203221163783504,0.201900785952948,0.343,0.306,0,0.303639842608242,0.246354227783207,0.294607613508517
ZNF680,0,0.379343277543784,0.440158653249427,0,0,0.485099622410413,0.591389750850018,0
CNNM2,0,0,0.701570372525699,0.366687225143285,0,0.821843008844291,0,0
SUN1,0.223,0.187,0.370961290371012,0.215879033921378,0.235,0.3351023017644,0.194,0.122
SETD5,0.2,0.237080187760652,0.515240010991358,0.151,0.121,0.36702784037282,0.155,0.128
FBXO10,0,0,0.404394496926729,0.499341943395261,0,0.451586374732046,0,0.514947621203824
C10orf82,0.382,0.284,0.189,0,0.273,0.424,0,0.318
CEP41,0,0.104828769644272,0.351092562937771,0.303246794483474,0.159353238471058,0.391062597350507,0.264583154665041,0.288845042895143
EBAG9,0,0,0.598325561881703,0.343900997182974,0,0.764340600664288,0,0.152861810001896
URGCP,0.175491173242099,0.14962323133888,0.31026847922914,0.332196956691949,0,0.272636760382511,0.329945700322463,0.287556102295006
DPYSL5,0,0,0.536508125525187,0.319993438222349,0,0.611059851650355,0.224474173891512,0.161215818500257
NEGR1,0.208059703858224,0.189880429899817,0.243318040582013,0.39070992994051,0,0.285781938401771,0.310535006017521,0.220020748984407
CAMK2B,0.266661418365713,0.181300195276768,0.264343999911373,0.293052336766888,0.137433853748423,0.238808391553767,0.246935978004597,0.21924004712795
BRWD3,0,0,0.752779741920612,0.330529865361061,0,0,0.416411935501186,0.344383101589788
DGCR5,0,0.2435594817616,0.23408794353724,0.288678431932078,0,0.413531522280157,0.279854815692776,0.378226930887865
CNOT7,0,0.135492508040945,0.360129807601025,0.309537410912176,0.142483599013745,0.439581450934309,0.205124258685714,0.240559033625777
LMF1,0,0.13744562754649,0.189363872159685,0.380651082217543,0.529543653572182,0,0,0.593470060742889
ANKS3,0.331027909040862,0.282,0.403959150903064,0,0,0.347677142734825,0.284149375886617,0.179
RBBP4,0,0,0.571005155087857,0.353873754479766,0,0.476848582708552,0,0.419216556030142
FNDC3A,0,0,0.62290451653752,0.346134247408377,0,0.729175612105255,0,0.121535001191471
NPY5R,0,0,0.909159339108375,0,0,0.91023324253098,0,0
SNHG14,0.311,0,0.21,0,0.411,0.299032534746095,0.177,0.411
ASNS,0.145511674498114,0.161023707410837,0.275,0.304974715523516,0.135,0.238440834486147,0.241092512411088,0.312481938820493
SUZ12P1,0.271471084028708,0.215,0.173,0.360860309958348,0.309,0,0,0.48263120381768
TUT4,0.134,0.122,0.420703857413494,0.188381622146499,0,0.628522882432583,0.145,0.17147668410058
LARP4B,0,0,0.908570055130098,0,0,0.886198309468903,0,0
EP400,0.248,0.245,0,0.274,0.285,0.25,0.231,0.258
COPS5,0,0,0.399365801703041,0.386337374793899,0.284890146408411,0.402318088545985,0,0.317414288047727
NKTR,0.38,0,0.327,0,0,0.373,0.401,0.293386824557763
ZFYVE26,0,0,0.576241729826285,0.613697679941565,0.316883913910552,0,0,0.264600261557673
ASAP1,0,0,0.486844465449435,0,0.854916066233447,0.323221567994293,0.104,0
MARCHF8,0,0,0.383023289843835,0.338717580347802,0,0.398554071780729,0.355642226658589,0.289501066019667
C6orf58,0,0,0.509,0.502,0,0.75,0,0
KIF26B,0,0.191553798481425,0.34778384150727,0.366227195335254,0,0.376233202673203,0.254949543644507,0.223212909426286
RPS6KB2,0,0,0.392,0.485,0,0.132,0.319,0.43
SPTLC1,0,0,0.374321607635339,0.325293825730686,0.158158481504152,0.421830878689094,0.214405454340849,0.259056467235068
NUP54,0.147,0.25915326793816,0.284176000241165,0.232295015374801,0,0.291737304989343,0.228569992028193,0.305616037983925
NR2C2,0,0,0.551299396562795,0.269844271392806,0,0.736190905544492,0,0.185437707177146
UBE2V1,0.21,0.201,0.214,0.234,0.204,0.233,0.218,0.225
AKAP8L,0,0,0.359,0.333536045143582,0.102935979498006,0.258132254257572,0.33585661694693,0.342939371101525
TNPO3,0,0,0.467637979689904,0.475106683637497,0,0.388346322962057,0,0.395491679313496
FBXO38,0,0,0.418,0.345,0.164,0.403,0.152,0.238
EWSR1,0,0,0.451,0.559,0,0.193391737679851,0,0.507
WNK2,0,0,0.390910625730629,0.415028926011272,0.152,0.336803467997391,0,0.41406523251028
IGSF3,0,0,0.58188279750602,0.235898171652066,0.138017197940235,0.640860348435204,0.104833283211837,0
LINC01145,0,0,0.329195514918691,0.283336823429484,0.123616555759522,0.585,0.379591608364494,0
PPIP5K1,0.173855992731105,0.171983122174903,0.177498466196119,0,0.999999274368506,0,0,0.167737594434408
AP1G2,0,0.247857644487238,0.237891941287335,0.330660962153319,0,0.265351850335972,0.334187233255575,0.273464217461062
MADD,0.124,0.128,0.145,0.141,0.718976226608765,0.145,0.143,0.144
PLXNC1,0,0,0.571295596241015,0.212284374265223,0,0.896291363672346,0,0
EP300,0,0,0.438782859800276,0.286678296294786,0,0.532292018577675,0.181461918820968,0.239780726722979
PACRGL,0,0,0.451616566100445,0.357387324567303,0,0.295728846564974,0.222195383550173,0.351713078868435
DGKZ,0,0,0.374,0.34,0.125,0.586962267446582,0,0.252
RMST,0,0,0.577,0.282096502547152,0,0.431,0.11,0.277668707838035
PRDX4,0.188646652729223,0.160615715393204,0.278185738310873,0.267087648389778,0.107921694368576,0.35124359461217,0.150633166289893,0.172682822367089
CYP2R1,0,0,0.66829729941185,0.309606001999266,0,0.698771296731577,0,0
FUBP3,0.11,0.11,0.326500555808527,0.23442589848683,0.146,0.350381395280985,0.210226991939916,0.183953160296582
BCLAF3,0.260219500742197,0.226877126541609,0.336240954238287,0.225752935569305,0,0.269091407313181,0.162,0.191235953344124
CLEC16A,0,0.287,0.376,0.347,0,0.432,0.228,0
TDRKH,0,0,0.545038442206072,0.205552538822179,0,0.688328356111831,0,0.2269120883118
SERF1B,0,0,0.783729342817399,0,0,0.876897847652117,0,0
ELMOD3,0.195,0.162,0.361,0.224,0.266,0.275,0.173,0
ATG5,0.377962970699581,0,0.275850647720871,0.235449313658515,0,0.365019494758309,0.1899664808334,0.205816421039594
RNF182,0.252932781360354,0,0.288367841055609,0.298039269686511,0,0.288025810452353,0.279083082836932,0.242142204638067
PTPRD,0.127,0,0.397839886953034,0.244512391693756,0,0.385514321923294,0.178242396374121,0.312308658178014
PPIL3,0.288066251049245,0.268850451858371,0.432362564535251,0,0,0.654395681988006,0,0
UNC80,0,0.352705301268934,0.352092046653905,0,0,0,0.456444915263067,0.480126423749551
AGK,0,0,0.687860843475367,0,0,0.783184334899793,0,0.152653033438651
PHGDH,0,0,0.490148235833276,0.346437116989704,0.236615460457412,0.550362767614731,0,0
TET2,0.159173702919654,0.23,0.121,0.302724117638057,0.154,0.255462476123907,0.242977618222045,0.157390444344377
SF3B1,0.495,0,0.397,0,0.314,0,0,0.416
BDP1,0,0,0.739879655437065,0,0,0.875359673038221,0,0
SMC6,0,0,0.612166236495146,0.372082573255471,0,0.63055224294779,0,0
PHIP,0,0,0.292332652327435,0.735723993115705,0,0,0,0.582172366973827
HDAC8,0,0,0.378352895542014,0.299,0.116,0.816,0,0
DTNA,0,0,0.627919323405989,0.269222954061558,0,0.711282259500063,0,0
PDXDC2P,0,0.968242775526243,0,0,0.638575117085769,0,0,0
PIKFYVE,0,0.111,0.37082065340291,0.201,0.192,0.365132616934414,0.193287318920406,0.168242861724877
RPS10-NUDT3,0,0,0.262808150260378,0.292564792743975,0,0.42808670916514,0.328207805910764,0.274917537195473
ABLIM1,0.123,0.131,0.402765889594013,0.207067160897296,0,0.349457867494968,0.215021982867396,0.156023577687242
AIM2,0.152,0.128,0.397581112648033,0,0,0.57936524983641,0,0.319235256299263
CPT2,0,0,0.727011990820233,0,0,0.847927123325495,0,0
CEP170,0,0,0.167778910976338,0.273009677151843,0.126,0.248,0.367,0.392675511079214
RNPEP,0,0,0.332132209827039,0.359528425225636,0,0.355521151593111,0.258676335122249,0.268362948065957
LINC00467,0,0.206691110158162,0.507432863840468,0.259745147588258,0,0.594538663556119,0,0
C9orf78,0,0,0.275374148693002,0.230995346665338,0.118986697902294,0.287755732729394,0.316117705803639,0.337728237670206
AC093752.1,0,0,0.516546224289421,0.320196860106566,0,0.481388872371169,0,0.243628064554236
ANKDD1A,0.172,0,0.264282115192144,0.414223700214545,0,0.31613186444454,0,0.395081441868504
TMEM18,0,0,0.487185290796408,0.311385587349322,0,0.484189536741791,0.107,0.168840674825733
SORCS3,0,0,0.620316853742632,0.201757569384092,0,0.736460582275167,0,0
EIF4G2,0,0.364497378955609,0,0.398557856455351,0,0.435257389515206,0,0.360066613010238
MRPL33,0.12,0.220419609491787,0.254046386895775,0.199,0.13,0.19559367300981,0.272874582889023,0.166
TMEM131,0,0,0.596794844346537,0.183152466132938,0,0.769098756062642,0,0
PPM1B,0,0,0.53397398608861,0.302268278175358,0,0.468870075926231,0,0.236164326444939
BCL9,0.206915361793941,0.172047916963908,0.19,0.292605700801304,0,0.20313133234855,0.255,0.221
ZFR,0.130279625646831,0,0.401658740367613,0.190040622681349,0,0.49938538693505,0.186056175915086,0.129749471691261
MCAM,0,0,0.367352307317387,0,0.353914118493042,0.40080396680337,0,0.411221298819085
LCORL,0,0,0.660893063778719,0.155011401085869,0,0.467492875070114,0,0.244587450681163
TUBE1,0.17,0.167815913061521,0.17,0.171677970502265,0.332658886342163,0.17346477224143,0.17,0.171976186961065
NAA25,0,0,0.481303040658817,0.234687223467888,0,0.808977820745547,0,0
OBSL1,0.163,0,0.32771516408181,0.253,0.276,0.310121994017556,0,0.193
ATXN7L2,0,0.177303592726425,0.472994527394477,0.26224854868246,0.120508464881247,0.485535027714798,0,0
AC013717.1,0,0,0.528834203608983,0.298570129127831,0,0.466019763700691,0,0.218796665106895
HCFC1R1,0.180036522030827,0.104,0.24252844313643,0.175818911257516,0.122,0.240817366236581,0.206571078539238,0.233556973720038
IGF2BP3,0,0,0.544216765723778,0.102,0,0.518520192223118,0,0.339362659981858
FAM168B,0.116138840061847,0,0.238948688045628,0.297987338370448,0.103255724412291,0.251370629885646,0.241552543652923,0.25295734570029
CBWD6,0,0,0.362633385064716,0.450379676159438,0,0.361528025902642,0,0.326173136141207
ATXN1,0,0,0.544395138327352,0.384563395024325,0,0.570062066465888,0,0
NF1,0.32337770805734,0,0.331887712878783,0.293514827001479,0,0.318084303237482,0.127990940818015,0.103780224180593
GATD1,0,0,0.181574598507823,0.312,0.215,0.229,0.217,0.344
ANKRD13D,0.240203703755999,0.142012230460693,0.258930045566159,0.251902421086326,0,0.320500598292912,0.148277514782419,0.136545044401039
PCBP1-AS1,0,0.198,0.274,0.27,0.134,0.172,0.204,0.245186711477836
DGCR9,0.116677402638928,0,0.371099956595944,0.274259626282912,0.146735509755598,0.307988541757616,0.148,0.132
SLC9A8,0,0,0.552053001810778,0.353207551108262,0,0.590018021570802,0,0
RAB23,0,0,0.321726809830336,0.347152960266897,0,0.366078164241102,0.30767973094432,0.152125329302644
IMPDH1,0.145680040110606,0.118093870058263,0.149162496579353,0.216397212309395,0.128695038945888,0.202967179849626,0.296800831298678,0.236814584683858
REPS1,0.299,0.18,0.244,0.158,0.204,0.135,0.132,0.141
GAPVD1,0,0,0.460487318202567,0.101,0,0.582883296936869,0.15544086890139,0.189959898352242
ZNF484,0.25,0.198,0.282,0.293,0,0.208,0,0.258
MRTFB,0,0,0.543213564395007,0.211304664831645,0.127094539098727,0.607196376969415,0,0
PRMT7,0.159310458787003,0.193780172470527,0.197,0.194612952668845,0.152,0.19316882772231,0.195455668358359,0.195435104166472
ICE2,0,0.26110441100182,0.400487321927768,0.213401302361889,0,0.292433223647031,0,0.312785929432472
PDCD4,0,0.2,0.215,0.212,0.212,0.211,0.215,0.215
DDX3Y,0,0.199487393811662,0.393253226671057,0,0,0.487253586440817,0.178897491293677,0.220973451157738
RAB27B,0,0,0.673539572035283,0.28087673746222,0,0.524657915642347,0,0
BPHL,0.199,0.175,0.199,0.2,0.2,0.17582604241218,0.15166569206706,0.175
DMXL1,0,0.185935402543717,0,0.485649180668622,0,0,0.514347379692916,0.288562619886222
CBWD3,0,0,0.339604912254096,0.468066170711729,0,0,0.31407914397107,0.348188069928113
PPP6C,0,0,0.5128604901935,0.263603656866272,0,0.592014130716922,0,0.101064863915316
MTHFSD,0.326008194546276,0,0.341642221637729,0.262572413661548,0,0.299001444776021,0.238377012948264,0
ZDHHC8P1,0,0.219982884062418,0.34984291876287,0.214394448800737,0,0.139,0.190539510738444,0.353458660793757
MZF1,0,0,0.486854076419766,0,0,0.470446384618129,0.253555617791884,0.255470260173775
FAM174C,0.16991861840476,0.171841241312646,0.217144653115785,0.217092639299868,0,0.19306232898426,0.254236383508681,0.241120138292363
CEP164,0,0,0.375,0.354333706168546,0,0.375,0,0.358
SYT14,0,0,0.435409931558939,0.239998185487347,0,0.647728467174451,0,0.127
CFLAR,0,0,0.245564656836636,0.395608274994094,0,0.153,0.371920984518205,0.283946684685346
EFHC1,0,0,0.262508668047907,0,0.306,0.503846606575713,0,0.373
ZDHHC17,0,0,0.233605182145262,0.212171461504479,0,0.227992634321142,0.368558367492435,0.402056120501937
PLPPR1,0.122103206491781,0.102164357707249,0.230750286508557,0.229669712502184,0,0.255897740706747,0.269409139224816,0.233467788608068
GNG10,0,0,0.561903939646928,0.10641497660224,0,0.773121666130626,0,0
DIPK1B,0,0.212194685935528,0.217705763108557,0.242658560691525,0,0.303014142128162,0.263772038895789,0.2018990834956
KIAA1109,0.131742967458942,0.129880535799979,0.170236531052043,0.342755087262754,0,0.166292494051784,0.258593046750391,0.238142548494966
GRM1,0,0,0.303,0.296,0.232,0.295,0,0.311
SYTL2,0.38976890803551,0,0.661,0,0,0,0.382,0
CYB561D1,0,0.155,0.289330009774497,0.213391152846091,0.14,0.312758984494329,0.180263352585293,0.14
SPDL1,0,0,0,0.45766519975499,0.403034732057926,0,0,0.568663140187234
DUS4L,0,0,0.759690221694103,0,0.16,0.284630713293545,0,0.224076131520925
CTDSPL,0,0.177626122067871,0.443046986734481,0.22317441337988,0,0.250602946132104,0.18843621606599,0.142
CSMD1,0,0,0,0.113,0,0.647639698097381,0.358246957082048,0.304119952645205
ALG8,0,0,0.476544844600588,0.32723194109971,0,0.617366549445368,0,0
FKBP7,0,0.243,0,0.259,0.162,0.237657138547111,0.243,0.271
AC092614.1,0,0,0.513430289303566,0,0,0.422952864943635,0,0.473372869422814
ANKMY1,0,0,0.461450121675205,0.336217391121758,0,0.610895409977768,0,0
CTNNAL1,0.240672149494383,0.228805696873456,0.227194019146145,0.240877162820496,0,0.230996197357692,0.239425907435423,0
DPY19L2P2,0,0,0.452494857465433,0.326452473557354,0.105,0.52252262163927,0,0
DHRS1,0,0.224,0.391511567359786,0.378958854033078,0,0.411670000569251,0,0
DIPK1A,0,0,0,0.414075857903765,0,0.197663852208052,0.384923754223939,0.409001016137021
DIAPH1,0,0,0.381425700695404,0.262986034090006,0,0.552361006273976,0.208498534644621,0
ATF6,0,0,0.279644109395373,0.298324873199618,0,0.245214136277108,0.317913313946052,0.263780368173598
TMEM198B,0.205,0.164,0.495805854550765,0,0,0.186,0.159,0.195
KIF1B,0,0,0.354,0.293,0,0.367,0.15,0.238
PCNX4,0.133,0,0.232,0.23,0.121,0.286,0.172422932472583,0.226
NBL1,0,0,0.474262868117886,0,0,0.433696412150409,0.178243981642978,0.309936410963823
GRB10,0.139,0.191,0.317693406539419,0.302724506980183,0,0.23446138508516,0,0.210240380199374
FIGNL1,0.208,0.21,0.289,0.269,0,0.236210873364904,0,0.18
NPEPPS,0,0,0.268647150119184,0.270865097385082,0,0.337066352265198,0.123,0.391283894811715
PIGB,0,0,0.423531137502425,0.32022500854491,0,0.321912932727618,0,0.321327156948479
DECR2,0.220114435295862,0,0.293242329653984,0.358915753092902,0,0,0,0.511593028586506
DENND6B,0.371207209118024,0.222681829369472,0,0.209688386681699,0,0.180221485912574,0.193316309793976,0.199190991049459
KIRREL1,0,0.202156637117521,0,0.246701575235361,0,0.434592218628576,0.252632301664449,0.235304069613483
ZNF548,0,0.125,0.411891665362882,0.279732983055739,0.115,0.438028105650451,0,0
TASOR2,0.27949053304909,0,0.236610165305649,0.234,0,0.41,0,0.205352924518942
APBB2,0.118,0,0.243785705393363,0.195,0.105,0.24,0,0.461255288631393
PLEKHA1,0,0,0.268686884174864,0.19364876500124,0.11,0.398257248233246,0.206777555018836,0.184245291141053
NT5C2,0,0.132673012731432,0.273332284502076,0.221324030054286,0.123683618268335,0.326909383191887,0.167958043803161,0.114933988516084
KIF3A,0,0,0.208648898595448,0.197,0.43477536892697,0.230137445014276,0.155,0.135
CDKAL1,0,0,0.322028416542446,0.314970629845335,0,0.16315284153357,0.302407251488384,0.257847133782788
TCEAL1,0.109,0.12,0.222,0.23,0.144,0.269757277068049,0.134,0.128
DAAM1,0,0,0.350908214132991,0.304730575652843,0,0.483832515609966,0.210585246768896,0
ZNF777,0.201261722048653,0,0.278252156273172,0.218742365275666,0.25307237208199,0.394896169041394,0,0
PCLO,0.174175734291875,0,0.47412984555128,0,0,0.696201461246925,0,0
SPEG,0,0.192,0.319,0.276,0.25,0,0,0.307
PCBP4,0.116,0,0.361,0.201,0.167,0.316,0,0.182
ZNF451,0.157,0.14,0.178358349022989,0.167,0.155,0.219261921426839,0.152,0.173
SNAI3-AS1,0,0,0.452962411193539,0.541004537842599,0,0.346081652742769,0,0
AP003108.2,0,0,0.50729247110359,0.159,0.122,0.285285865812201,0,0.263360715021092
EIF3M,0.145,0,0.320778366260868,0.20198104454862,0,0.351164615370999,0.167365606907209,0.149594224218383
UFD1,0,0.2,0.117,0.351,0.141,0.325,0.2,0
BABAM2,0.105095758181641,0.171412195627097,0.201931356821261,0.183251387751756,0.122419632299349,0.178626302635216,0.213105220661441,0.155676197021924
AL390879.1,0,0,0,0,0,0,0.674172141531611,0.65663415969835
CTC1,0,0.174,0.189,0.165,0.181,0.185,0.171,0.26567436093191
KIAA0753,0.192,0,0.349652902725518,0.249,0,0.29411731277732,0,0.24426469160811
SAFB,0,0,0.325153904969788,0.235552460675952,0,0.326582799854019,0.187218925047194,0.254288689096677
DMD,0,0,0.369429894545936,0.220514619207265,0,0.734892386332018,0,0
TNFRSF19,0,0,0.482944442266566,0,0.15,0.458103442890181,0.128,0.105
ITGB3BP,0,0.207026937251168,0.211463344621083,0.207383935230254,0,0.250010209839411,0.246712052719629,0.196706907806465
GTF2H2C,0,0,0.531915130615064,0.225831473713959,0,0.560568747720917,0,0
CACNA1A,0,0.193,0.398075546699952,0,0,0.538969673557444,0.188,0
PIK3R4,0,0,0.239490436733831,0.236905045591629,0.188085476354091,0.308909395173693,0.141092048946864,0.201810246757689
FUCA2,0.142,0,0.227,0.161,0.134,0.28,0.159,0.211
FAM114A2,0,0.333,0.27454101588011,0,0,0.323703176174017,0.217355161131171,0.164790732869212
VPS13C,0,0,0.414937440988526,0.231410173386438,0,0.362566431301863,0,0.302106562928845
TNC,0.324560289685249,0,0.321033089137134,0,0,0.33157657938042,0.328837300095814,0
SNAPC3,0.180053287025497,0,0.219620970323665,0.21883283446905,0,0.248507089293259,0.225842966329005,0.21308437235233
VIPAS39,0,0,0.364234392275157,0.351365177698748,0,0.315595185488438,0,0.273647874713705
SERINC3,0,0,0.454604101877557,0.237344647379915,0,0.495103135179871,0.11533101846642,0
ARHGAP1,0,0,0.167435751033033,0.216116338606517,0,0.186335774319094,0.377015639325012,0.348416557830615
ZNF780B,0,0,0.335559984707184,0.337958353240454,0.253,0.262,0,0.103131413966309
KRBA1,0,0,0.352852457153607,0.246225116440136,0,0.251918430143462,0.192843829824911,0.247100856834719
CD200,0,0,0.36138709013043,0.144,0,0.487071679737503,0.136,0.161
CACNA2D1,0.285332376638349,0.195340466156109,0,0.323505309146049,0,0,0.232501440480669,0.250458195592956
MFSD14C,0.173740684942916,0.129,0,0.250567331454671,0,0.36591717533439,0.193809373074996,0.17386906554791
UBP1,0,0,0.296753961724191,0.340072616204247,0,0.219665854060059,0.124,0.305843654351503
SGIP1,0.11,0,0.218438518534818,0.182022016101145,0.103826978914128,0.292364919089649,0.167319320962776,0.209190324447982
NTNG1,0.109,0,0.430032146331286,0.272357836088089,0,0.362612462622321,0.109,0
TAF6,0.108355427488494,0.184,0.470186165827905,0.124867907488555,0,0,0.392153272092347,0
KCTD20,0,0,0.354793412802044,0.260691200504382,0.154155781851794,0.509046559178017,0,0
NCOA6,0,0,0.523207577794151,0.311587285133646,0,0.227174514573514,0,0.216342452038723
CHD1L,0,0,0.408282216557529,0.163,0.133,0.451394644389307,0.122,0
NDUFAF6,0.124,0.129,0.21,0.248,0,0.239,0.159,0.16703221751899
UVRAG,0,0.202650945913315,0.178039932950213,0.225750068256764,0,0.176921486162533,0.281046797650917,0.206627114991851
CABYR,0,0.237254361804661,0.260874110157998,0.262615882565241,0.122,0.259139563003164,0,0.129
OXCT1,0,0,0.471825535145645,0.167431362640613,0,0.629786415950174,0,0
ADCY3,0,0,0.231487515276374,0.165,0,0.340348886299638,0.15,0.379853097408475
SBF2,0,0,0.25831708063103,0.245854730948304,0,0.235553745286855,0.23798659518849,0.283261723963671
ZNF417,0,0,0.428953148982031,0.292683217315852,0,0.300091656024062,0.238350544264692,0
CARMIL3,0,0.177529525849813,0.243198431208557,0.139507063329509,0,0.269735845233476,0.226333846397329,0.203233369131849
RUNX1T1,0,0.25604396871184,0.217,0.122,0.104,0.229421837337008,0.12,0.211
FAM193B,0,0.141,0.233877672695175,0,0.217,0.481871328131551,0,0.184
SCN3A,0.134738489724904,0.119294611805229,0.212883208211026,0.176588929047218,0.123450779843154,0.215436001851523,0.142292552013566,0.132490595720873
CCDC32,0,0,0.297,0.458569783646712,0,0.217,0.276075840341013,0
SPIN3,0,0,0.37604458078279,0.35579042991629,0,0.515984850142784,0,0
HPS5,0,0.397857476297163,0.350999966670127,0,0,0,0,0.498924664642055
RRNAD1,0,0,0.319,0.347,0,0.379,0.202305185765448,0
REEP3,0.143,0,0.308591374329677,0.155,0,0.33444650950768,0,0.296707852168356
RAB11FIP2,0,0,0.109004394650468,0.324345694068229,0,0.253449260068892,0.300559824011781,0.248433567036137
PXK,0,0,0.389995448050906,0.105,0,0.578324398810827,0.159,0
CCDC18-AS1,0,0.41,0,0,0.41,0,0,0.41
WASHC5,0.141,0,0.141,0.251,0.207,0.276,0,0.213
RPS9,0,0,0.343773159503186,0.204167466009973,0.125323383190019,0.387952602059648,0,0.166930231681947
MINDY2,0,0,0.4278152804428,0.270585940413903,0,0.527172049883226,0,0
HCG18,0,0.154,0.24262900679934,0.189,0.159,0.166,0.162,0.147
TBL1X,0,0,0.406584545732203,0.241096766203245,0,0.33476016688078,0.234,0
CAB39L,0,0,0.171459118296307,0.413528471023027,0,0.158476749081185,0.312041348173445,0.157836917957765
UBOX5,0,0.232479860156347,0.348739419663542,0.221640819663473,0,0.40879203392872,0,0
RAB3IP,0.695,0,0,0.290676981300929,0,0,0.114,0.11
KCNC1,0,0,0.273,0.261,0,0.363724368404214,0,0.311
SNTG1,0.106,0,0.320299614022362,0.106,0.106,0.270225435129118,0.193047551903021,0.106
GAREM1,0,0,0.221597311807737,0.251509331689965,0,0.286329430640663,0.279199274522796,0.168573628735509
COPS3,0.21,0,0.258,0.26,0,0.287,0,0.191
WFDC2,0.32190887716508,0,0,0,0,0,0.449674473170125,0.432717116079819
CPSF7,0,0.134,0.377,0.146699525301088,0.137,0.409,0,0
EIF1AD,0,0,0.198733302921744,0.251037551710866,0.156642919540104,0.227954525714549,0.207541317736877,0.159815976102342
CLTA,0,0,0.334841205876058,0.250133641822405,0,0.322918942030997,0,0.293177317924047
PLEKHA6,0,0,0.249850294537109,0.211877127457101,0,0.338932917965131,0.232391615734205,0.166900022100655
CLOCK,0,0,0.312638753274854,0.271912151256101,0,0.326048155976489,0.288665285866456,0
ATPAF1,0,0.164006159289234,0.433361734174472,0.236866061717349,0,0.363828673503457,0,0
