Genes,iPSC.BIO1755497.00040nM,iPSC.BIO2006152.00045nM,iPSC.BIO2059811.00261nM,iPSC.BIO2135644.00300nM
RAPGEF6,0,0,0.188980148097471,0
AC008695.1,0,0,0.188162007585208,0
STK19,0,0,0.188,0
UBN2,0.187847001457406,0,0,0
ULK1,0,0,0.187768456982078,0
ALPK3,0,0,0.187400309281783,0
PMS2P7,0,0.186208112617092,0,0
CD99P1,0,0,0.185727935083436,0
DLG4,0,0,0,0.185450330292031
FAM161A,0,0,0,0.185217497533315
SIRT6,0,0,0.185,0
CRIP3,0,0,0.184,0
CACNB1,0,0,0.183204409211458,0
BAZ2B,0,0,0.183,0
PDCD6,0,0,0,0.183
PPM1B,0,0,0.181389888058884,0
C2CD5,0,0,0.181,0
BSCL2,0,0.180987396853399,0,0
AC013717.1,0,0,0.180344281790232,0
SUZ12P1,0.18,0,0,0
CCDC130,0,0,0,0.179881863998973
NFKB2,0,0,0.179578519705812,0
TBL1X,0.179254860926428,0,0,0
MED23,0,0.179,0,0
TULP4,0,0,0,0.179
CALM2,0,0,0.178,0
ZNF808,0,0,0,0.178
DELE1,0,0,0.17736752575055,0
DRG2,0,0.177,0,0
FASTK,0,0.177,0,0
PTGR2,0,0,0,0.177
AL354821.1,0,0,0,0.176119067937309
FAM169A,0,0,0,0.175
UNK,0,0,0,0.17321608762818
SSBP1,0.173042226049385,0,0,0
MBNL1,0,0,0,0.173
P2RX5,0.172,0,0,0
SMARCC2,0.172,0,0,0
KCNN2,0,0,0.17149383454309,0
RPL10A,0,0,0.171,0
BRD1,0,0,0.170778452730463,0
RABGAP1L,0,0,0.170002200068211,0
HDAC11,0.17,0,0,0
NEPRO,0,0,0.169717070960531,0
AL031315.1,0,0,0.169268597807654,0
AKR1A1,0,0,0.169,0
GUSB,0,0,0,0.169
LIPT1,0,0.168,0,0
MDM4,0,0,0.168,0
ZNF346,0,0,0.168,0
ENTPD1-AS1,0,0,0.167,0
WDR11,0,0,0,0.167
MOCS2,0,0,0.166994586821441,0
HS3ST5,0,0,0,0.166759222698948
COP1,0,0,0.166,0
DNAJC14,0,0,0.166,0
HSD17B6,0,0.166,0,0
MCM8,0,0,0.166,0
ZNF7,0,0,0.166,0
JAKMIP2-AS1,0,0,0.165849669673143,0
LTBP4,0,0,0.165,0
XRCC3,0.165,0,0,0
MLST8,0,0,0,0.164
SNCAIP,0.164,0,0,0
AC020915.3,0.163618576921791,0,0,0
ANAPC16,0,0,0.162,0
ANK2,0,0,0.162,0
MARS1,0,0.162,0,0
MPND,0,0,0.162,0
SYMPK,0,0,0,0.162
USF2,0.162,0,0,0
FAM124A,0,0,0.161768481426385,0
FAXC,0,0.161,0,0
NOSIP,0,0,0.161,0
SETD4,0,0,0,0.160896436109706
CLASP1,0,0,0,0.160487104739975
ARHGEF18,0.16,0,0,0
G6PC3,0,0,0,0.16
GUSBP11,0.16,0,0,0
SCARA3,0,0.16,0,0
GRK6,0,0,0,0.159857322230144
ADCY3,0,0,0.158703749201563,0
UNC13A,0,0,0.158595169848609,0
ABCD4,0,0,0,0.158
LRIG2,0,0,0,0.157444632928635
AVL9,0.156733448372553,0,0,0
ZNF791,0,0,0.156503103793604,0
RNF157,0,0,0.156218674991409,0
CU634019.6,0,0,0.156,0
FHOD3,0,0,0,0.156
LSM14B,0,0,0.156,0
MMS19,0,0,0.155274442866061,0
CDC25C,0.155,0,0,0
TNK2,0,0,0.154443301422859,0
CAPRIN2,0,0.153877724233307,0,0
AL358113.1,0,0,0.153240793099653,0
RAB28,0,0,0.153138444937001,0
HSPA14,0,0,0.153,0
MIIP,0,0,0,0.153
TGFBR3,0.153,0,0,0
TMEM51,0,0.153,0,0
PRKACB,0,0,0,0.152008972598828
GNB1L,0,0,0.152,0
MAGI2,0,0,0,0.152
RAD50,0,0,0,0.152
RUFY3,0,0,0.152,0
SLC35A2,0,0,0.152,0
ADCY5,0,0,0.151,0
INTS6L,0,0,0.151,0
PSMC5,0,0,0,0.151
TSPAN14,0,0,0.151,0
ZNF268,0,0,0.151,0
GPATCH2L,0,0,0.150594864271669,0
HMGA2,0,0,0.15058776388357,0
CREBZF,0,0,0.15,0
KIF1A,0,0,0.149581811061173,0
PPP3CB-AS1,0,0,0.149,0
SDHAF2,0,0,0.149,0
SNX7,0,0,0.148509716283411,0
TUBB3,0,0,0,0.148196626459586
DNM1L,0.148,0,0,0
KMT2A,0,0,0,0.148
RPA1,0,0,0.147367055031981,0
KBTBD8,0,0,0,0.147
AC105036.3,0,0.146419334932243,0,0
MDC1,0.146278041382912,0,0,0
AC006001.3,0.146,0,0,0
PHF20,0.145093866187746,0,0,0
FBXO38,0,0,0.144,0
MTERF4,0,0.144,0,0
ZXDC,0,0,0,0.144
STARD3NL,0,0.143998322586392,0,0
CLTC,0,0,0.143923978396666,0
CIP2A,0.143266615262078,0,0,0
AP3B2,0,0,0,0.143
TENM3-AS1,0.143,0,0,0
TSSC4,0,0,0.143,0
WWC1,0,0,0.143,0
ST6GAL2,0,0,0.142,0
ZNF714,0,0,0.142,0
EEF2KMT,0,0,0,0.141
GINS3,0,0,0.141,0
KLC2,0,0,0.141,0
WARS1,0,0,0,0.141
ZNF85,0,0,0.141,0
APC,0,0,0.14,0
SSR1,0,0,0.14,0
XRN1,0,0,0,0.14
ABCC5,0,0,0.139512710475583,0
NPRL3,0,0,0,0.139
PCSK9,0,0,0.139,0
SETD2,0.139,0,0,0
ZNF197,0,0,0,0.139
ZNF329,0,0,0.139,0
ACOX1,0,0,0,0.137
IFNLR1,0,0.137,0,0
RNASEH1-AS1,0,0,0.137,0
ACSF2,0,0,0.136,0
ATG5,0.136,0,0,0
CADPS2,0,0,0.136,0
DNASE1L1,0,0.136,0,0
NLGN2,0,0,0.136,0
RALGAPA2,0.136,0,0,0
STRADA,0,0.135,0,0
ZKSCAN3,0,0,0.135,0
TAZ,0,0,0.134819630923703,0
EP300,0,0,0.134644623421032,0
ESRP1,0,0,0.134,0
OGT,0,0.134,0,0
ZNF562,0,0.134,0,0
TNIK,0,0,0,0.133841421105177
BCL2L12,0,0,0,0.133
KLC1,0,0,0.133,0
TPCN2,0.133,0,0,0
ATP9B,0,0.132926103000317,0,0
NUP50,0,0,0.13110618049623,0
CASP6,0,0,0,0.131
HROB,0,0,0.131,0
IFT22,0,0,0.131,0
SPTLC1,0.131,0,0,0
TRIT1,0,0,0.131,0
RAD54B,0,0,0.130481440681877,0
STAT1,0,0,0.130415737798925,0
TMX2,0,0,0,0.13
TRAK1,0,0,0,0.13
NR1D2,0,0,0,0.129
SLC29A1,0,0.129,0,0
TARDBP,0,0.128384515088247,0,0
CD44,0,0.128,0,0
GCAT,0,0,0,0.128
KCTD17,0.128,0,0,0
TEX21P,0,0,0.128,0
STRN4,0.127259861004535,0,0,0
CDK5RAP2,0.127,0,0,0
EGFL7,0,0,0,0.127
IRF1,0,0.127,0,0
PLD3,0,0.127,0,0
RALGPS2,0,0,0.127,0
TAF6,0,0,0.127,0
WDSUB1,0,0.127,0,0
ADGRV1,0,0,0,0.126
OSGEPL1,0,0,0,0.126
PLEKHA1,0.126,0,0,0
PXN-AS1,0,0,0.126,0
TUBGCP4,0,0,0,0.126
STAG3L3,0,0,0.125205686139685,0
AL392172.1,0,0,0.125,0
EPM2A,0,0,0,0.125
ISYNA1,0,0,0,0.125
N4BP2,0,0,0.125,0
GNPDA2,0.124,0,0,0
MPHOSPH9,0,0,0.123,0
POC1B,0,0,0.123,0
PRMT2,0,0,0.123,0
CA5BP1,0,0,0.122223032712553,0
ATAD2B,0,0,0.122,0
ERBB2,0,0,0,0.122
UBE2A,0,0,0.121976680246185,0
NCDN,0,0,0,0.121906752064886
GON4L,0,0.121358492518235,0,0
ATP6V0B,0,0,0,0.121
FCGRT,0,0.121,0,0
LRP8,0,0,0.121,0
PGGHG,0.121,0,0,0
POFUT2,0,0,0,0.121
UGT8,0,0,0.121,0
DDHD1,0,0,0,0.12
HIF3A,0.12,0,0,0
CYTH2,0.119945671491845,0,0,0
HNRNPC,0.119,0,0,0
SNRK,0.119,0,0,0
FAM160A2,0,0,0.118,0
GNAS,0.118,0,0,0
HSCB,0,0,0.118,0
KRIT1,0,0,0.118,0
ZNF211,0.118,0,0,0
ZNF512,0,0,0.118,0
FKBP9,0,0,0.117,0
KPTN,0.117,0,0,0
METTL15,0.117,0,0,0
NIF3L1,0.117,0,0,0
ZFYVE19,0,0,0.117,0
PAM,0,0,0.116826631128613,0
SKIV2L,0,0.116117680273192,0,0
ACAD10,0.116,0,0,0
AKAP11,0,0,0,0.116
CEP57L1,0,0,0,0.116
ITPRID2,0,0,0.116,0
MED12L,0.116,0,0,0
NAGPA,0.116,0,0,0
NAV1,0,0,0.116,0
PHACTR4,0,0,0.116,0
ZBTB8OS,0,0,0.116,0
ARIH2,0,0,0.115,0
CNOT1,0,0,0,0.115
PTPRZ1,0.115,0,0,0
TRAPPC6A,0,0,0.115,0
HP1BP3,0,0,0.11495010614715,0
FIP1L1,0,0,0,0.114209700186855
HEXIM2,0,0,0.114,0
PLPP1,0,0,0,0.114
RBPJ,0.114,0,0,0
SPINT1,0,0,0.114,0
ZCCHC10,0,0,0.114,0
ZNF207,0,0,0,0.113828822006115
RAD1,0,0,0.113,0
RIMS3,0,0,0.113,0
DNAJC4,0,0.112,0,0
POLG,0,0,0,0.112
ROGDI,0,0,0.112,0
SNCG,0.112,0,0,0
SNRPN,0,0,0.112,0
ST7L,0,0,0.112,0
TRIM26,0.112,0,0,0
CENPE,0.111001537318646,0,0,0
FMNL1,0,0,0.111,0
KAT8,0,0,0,0.111
KLHDC4,0,0,0.111,0
MIS12,0,0,0.111,0
PEX26,0,0,0.111,0
RAP1B,0,0,0.111,0
SAMD4B,0,0,0.111,0
CFL2,0,0.110033416639476,0,0
CREM,0,0,0.11,0
HSDL2,0.11,0,0,0
NAP1L1,0,0.11,0,0
TMEM98,0.11,0,0,0
TNIP1,0,0,0,0.11
TTC26,0,0,0,0.11
UXS1,0,0,0,0.109780995876011
KIRREL1,0,0.109,0,0
LINC00665,0,0.109,0,0
PTER,0,0,0.109,0
SREK1,0,0,0,0.10829662207651
CENPX,0,0,0,0.108
CHMP4A,0,0,0.108,0
DARS2,0,0.108,0,0
HECTD1,0,0,0.108,0
ITGA7,0.108,0,0,0
LIMK2,0,0,0.108,0
MOCOS,0,0.108,0,0
NFATC4,0,0.108,0,0
PCDH18,0,0,0.108,0
TUG1,0,0.108,0,0
ATPAF2,0,0.107,0,0
CPSF7,0,0,0.107,0
ERMARD,0,0,0.107,0
HMGCR,0,0,0.107,0
LBR,0.107,0,0,0
MLX,0,0,0.107,0
RPAIN,0,0,0.107,0
SEMA4A,0.107,0,0,0
SGSM2,0,0,0.107,0
SH2B1,0,0.107,0,0
ST7,0,0.107,0,0
TSEN54,0,0,0.107,0
METTL6,0,0,0,0.106371322170871
HIPK3,0,0,0.106,0
HPS5,0,0,0,0.106
IFT80,0,0,0,0.106
NFRKB,0,0,0.106,0
PHLPP2,0,0,0,0.106
SETD5,0,0,0.106,0
STAG2,0,0.106,0,0
RHOT1,0,0,0,0.105915485037697
AC245060.7,0,0,0,0.105
CERS4,0,0,0.105,0
EFHD2,0,0,0,0.105
GGA1,0,0,0,0.105
SLC25A21,0,0,0.105,0
ZNF883,0.105,0,0,0
ODR4,0,0,0.104010084023443,0
ERCC6,0,0.104,0,0
FANCM,0,0,0.104,0
KIAA0753,0,0,0.104,0
NOP56,0,0,0.104,0
RIC1,0.104,0,0,0
SLC30A6,0,0,0.104,0
SPATS2L,0,0,0.104,0
STEAP2,0,0,0,0.104
WASHC5,0,0,0.104,0
ARID1B,0,0,0,0.103264726090992
AARS2,0,0.103,0,0
SMIM7,0,0.103,0,0
TNNT1,0,0,0.103,0
UBE3B,0,0.103,0,0
ZNF43,0,0,0,0.102036026978115
HUWE1,0,0,0.102,0
KIAA1191,0,0,0.102,0
PARD6G,0,0,0,0.102
PIBF1,0,0,0.102,0
SEMA4D,0,0,0.102,0
TXNDC11,0,0,0,0.102
CYB5B,0,0,0.101643394754943,0
CAMKV,0,0,0.101,0
DMTF1,0,0,0.101,0
EML3,0,0.101,0,0
FBXL20,0,0,0,0.101
FKRP,0,0,0.101,0
MAP7D3,0,0,0,0.101
MIB2,0.101,0,0,0
RMST,0,0,0.101,0
RNPEPL1,0,0,0,0.101
USF3,0,0,0.101,0
C1orf109,0,0,0.100790672567766,0
SAFB,0,0,0.100785516316179,0
LUC7L3,0,0,0.10065979837257,0
ZCCHC8,0,0,0.100104994482598,0
