,iPSC_2197294_3x,NGN2_2197294_3x,Sy5Y_2197294_3x,sum,,,,,,,,,,,
ZDHHC13,0,0,0,0,,,,,,,,,,,
ZFAND1,0,0,0,0,,,,,,,,,,,
ZMIZ2,0,0,0,0,,,,,,,,,,,
ZMYM2,0,0,0,0,,,,,,,,,,,
ZMYM6,0,0,0,0,,,,,,,,,,,
ZNF10,0,0,0,0,,,,,,,,,,,
ZNF138,0,0,0,0,,,,,,,,,,,
ZNF208,0,0,0,0,,,,,,,,,,,
ZNF266,0,0,0,0,,,,,,,,,,,
ZNF280D,0,0,0,0,,,,,,,,,,,
ZNF324B,0,0,0,0,,,,,,,,,,,
ZNF350,0,0,0,0,,,,,,,,,,,
ZNF417,0,0,0,0,,,,,,,,,,,
ZNF423,0,0,0,0,,,,,,,,,,,
ZNF43,0,0,0,0,,,,,,,,,,,
ZNF558,0,0,0,0,,,,,,,,,,,
ZNF577,0,0,0,0,,,,,,,,,,,
ZNF585B,0,0,0,0,,,,,,,,,,,
ZNF618,0,0,0,0,,,,,,,,,,,
ZNF66,0,0,0,0,,,,,,,,,,,
ZNF680,0,0,0,0,,,,,,,,,,,
ZNF726,0,0,0,0,,,,,,,,,,,
ZNF730,0,0,0,0,,,,,,,,,,,
ZNF789,0,0,0,0,,,,,,,,,,,
ZNF79,0,0,0,0,,,,,,,,,,,
ZNF804A,0,0,0,0,,,,,,,,,,,
ZSCAN23,0,0,0,0,,,,,,,,,,,
