,U1-WT-500-BIO2197294_vs_DMSO,U1-WT-500-BIO2197294_vs_WT-500,U1-WT-500-Branaplam_vs_DMSO,U1-WT-500-Branaplam_vs_WT-500
SYNE1,0,1,0,0
IPCEF1,1,1,0,0
SCAF8,1,1,0,0
TIAM2,1,1,0,0
LPAL2,1,1,0,0
RPS6KA2,1,0,0,0
Z94721.2,0,1,0,0
AL135910.1,1,1,0,0
WDR27,0,1,0,0
FAM120B,1,1,0,0
TBP,1,0,0,0
AC093627.4,1,0,0,0
FAM20C,1,0,0,0
COX19,1,1,0,0
MICALL2,0,1,0,0
AC102953.2,1,0,0,0
AC069288.1,1,0,0,0
FOXK1,1,0,0,0
AP5Z1,1,1,0,0
RBAK,1,1,0,0
RSPH10B,1,1,0,0
USP42,1,0,0,0
DAGLB,1,1,0,0
PMS2CL,1,1,0,0
AC005532.1,1,0,0,0
AC007128.1,0,1,0,0
VWDE,1,1,0,0
NUP42,1,0,0,0
AC005165.1,0,1,0,0
HOXA2,1,1,0,0
HOXA3,1,1,0,0
HOXA5,1,1,0,0
HOXA6,1,1,0,0
AC004080.5,1,1,0,0
HOXA9,1,1,0,0
CREB5,1,1,0,0
MINDY4,1,1,0,0
AQP1,1,1,0,0
ADCYAP1R1,1,0,0,0
DPY19L1P1,1,1,0,0
RP9P,1,1,0,0
RP9,1,1,0,0
BMPER,1,0,0,0
DPY19L2P1,1,1,0,0
SFRP4,1,1,0,0
TRG.AS1,1,0,0,0
LINC00265,1,1,0,0
INHBA,1,0,0,0
UBE2D4,1,0,0,0
POLR2J4,1,1,0,0
LINC00957,1,0,0,0
POLM,1,1,0,0
AC004453.1,0,1,0,0
NPC1L1,1,0,0,0
SNHG15,1,1,0,0
ADCY1,1,0,0,0
SEPTIN7P2,1,1,0,0
GTF2IP13,1,1,0,0
PKD1L1,1,1,0,0
HUS1,1,1,0,0
ZNF713,0,1,0,0
PSPH,1,0,0,0
PHKG1,1,1,0,0
ZNF680,1,1,0,0
ZNF107,1,1,0,0
ZNF273,1,1,0,0
CCT6P3,1,1,0,0
INTS4P1,1,1,0,0
ZNF92,1,1,0,0
CCT6P1,1,1,0,0
AC093582.1,1,1,0,0
CRCP,1,0,0,0
LINC00174,1,1,0,0
AC006001.3,0,1,0,0
LINC02604,1,1,0,0
CALN1,0,1,0,0
TYW1B,1,1,0,0
SBDSP1,1,1,0,0
PMS2P7,1,0,0,0
AC211476.11,1,1,0,0
PMS2P6,1,1,0,0
MLXIPL,1,1,0,0
STX1A,1,1,0,0
LAT2,1,1,0,0
CASTOR2,0,1,0,0
AC211486.6,1,0,0,0
PMS2P3,1,1,0,0
HSPB1,0,1,0,0
SPDYE16,1,1,0,0
AC004980.1,1,1,0,0
POMZP3,1,1,0,0
DTX2P1.UPK3BP1.PMS2P11,1,1,0,0
SPDYE17,1,0,0,0
FAM185BP,0,1,0,0
CCDC146,1,1,0,0
FGL2,1,1,0,0
SEMA3C,1,0,0,0
PCLO,0,1,0,0
DMTF1,1,1,0,0
CFAP69,1,1,0,0
MTERF1,0,1,0,0
AKAP9,0,1,0,0
GATAD1,1,1,0,0
AC007566.1,1,1,0,0
RBM48,1,1,0,0
ASNS,1,0,0,0
PTCD1,1,0,0,0
ATP5MF.PTCD1,1,1,0,0
ZKSCAN5,1,1,0,0
FAM200A,1,1,0,0
ZNF655,1,1,0,0
ZSCAN25,1,1,0,0
CYP3A4,1,0,0,0
ZKSCAN1,0,1,0,0
ZSCAN21,1,1,0,0
ZNF3,1,1,0,0
STAG3L5P,1,1,0,0
STAG3L5P.PVRIG2P.PILRB,1,1,0,0
PILRB,1,1,0,0
PILRA,1,1,1,0
FBXO24,0,1,0,0
CLDN15,1,1,0,0
PRKRIP1,1,1,0,0
LINC01004,1,1,0,0
RINT1,1,0,0,0
EFCAB10,1,0,0,0
AC073073.2,1,0,0,0
ATXN7L1,1,1,0,0
CBLL1,1,1,0,0
LAMB4,0,1,0,0
LSMEM1,1,1,0,0
CAV1,0,1,0,0
ING3,1,1,0,0
WNT16,0,1,0,0
RNF148,1,0,0,0
IQUB,1,0,0,0
LRRC4,1,0,0,0
AC090114.3,1,1,0,0
AC108010.1,1,1,0,0
AC018638.4,1,1,0,0
AC018638.2,1,1,0,0
AC018638.5,1,1,0,0
LRGUK,1,1,0,0
CNOT4,1,1,0,0
SLC13A4,1,1,0,0
ZC3HAV1,1,1,0,0
KDM7A,1,1,0,0
BRAF,0,1,0,0
WEE2,1,1,0,0
TAS2R5,1,1,0,0
MGAM,1,1,0,0
AC073342.1,0,1,0,0
EPHA1.AS1,1,0,0,0
ZNF786,1,0,0,0
ZNF425,1,1,0,0
ZNF212,1,1,0,0
ZNF783,1,1,0,0
AC004890.2,0,1,0,0
ZNF767P,1,1,0,0
ZNF862,0,1,0,0
XRCC2,0,1,0,0
ACTR3B,1,0,0,0
INSIG1,1,1,0,0
NOM1,1,1,0,0
PTPRN2,1,1,0,0
WDR60,0,1,0,0
ZNF596,1,1,0,0
FAM86B3P,1,1,0,0
RP1L1,1,1,0,0
AF131215.6,1,1,0,0
AF131215.5,1,1,0,0
TDH,1,1,0,0
FAM167A,1,0,0,0
FAM86B1,1,1,0,0
FAM90A25P,1,0,0,0
FAM86B2,1,1,0,0
AC068587.4,0,1,0,0
TRMT9B,1,0,0,0
C8orf48,1,1,0,0
MICU3,1,1,0,0
NPM2,1,1,0,0
PIWIL2,1,1,0,0
PPP3CC,1,1,0,0
TNFRSF10D,0,1,0,0
PPP2R2A,1,0,0,0
TRIM35,1,1,0,0
SCARA3,1,0,0,0
AC026979.4,1,0,0,0
BRF2,1,1,0,0
EIF4EBP1,1,0,0,0
LETM2,1,1,0,0
ADAM32,0,1,0,0
TCIM,1,1,0,0
SFRP1,1,0,0,0
AC009630.4,1,1,0,0
AP3M2,1,1,0,0
THAP1,1,0,0,0
AC009879.3,1,1,0,0
ADHFE1,1,1,0,0
VXN,1,1,0,0
CSPP1,1,1,0,0
HEY1,1,1,0,0
ZBTB10,1,1,0,0
AC009812.4,0,1,0,0
CHMP4C,1,0,0,0
CA3,1,1,0,0
AF117829.1,1,1,0,0
SLC26A7,1,1,0,0
RUNX1T1,1,1,0,0
AC120053.1,0,1,0,0
TMEM67,0,1,0,0
NDUFAF6,1,0,0,0
PLEKHF2,1,1,0,0
SPAG1,1,1,0,0
UBR5,0,1,0,0
KLF10,1,1,0,0
RIMS2,1,1,0,0
TRPS1,1,1,0,0
UTP23,1,1,0,0
COL14A1,1,0,0,0
MTBP,0,1,0,0
ATAD2,1,0,0,0
AC090192.2,1,0,0,0
ZNF572,1,1,0,0
SQLE,1,1,0,0
LRATD2,1,0,0,0
PVT1,1,1,1,0
EFR3A,1,0,0,0
ZFAT,1,1,0,0
DENND3,1,1,0,0
JRK,1,0,0,0
AC138696.1,0,1,0,0
ZNF696,1,1,0,0
RHPN1,1,1,0,0
AC067930.5,0,1,0,0
ZNF623,1,1,0,0
ZNF707,1,1,0,0
FBXL6,1,1,0,0
ADCK5,1,1,0,0
TONSL,1,1,0,0
ZNF251,0,1,0,0
ZNF34,1,1,0,0
ZNF7,1,1,0,0
AF235103.3,1,1,0,0
ZNF250,1,1,0,0
ZNF16,1,1,0,0
WASHC1,1,1,0,0
VLDLR,1,0,0,0
RFX3.AS1,1,1,1,1
CDC37L1,1,0,0,0
UHRF2,1,1,0,0
AL162411.1,1,0,0,0
AL354694.1,1,0,0,0
FREM1,1,0,0,0
TTC39B,1,0,0,0
IFNA22P,1,0,0,0
MIR31HG,1,0,0,0
AL355432.1,1,1,0,0
DDX58,0,1,0,0
TOPORS,1,1,0,0
NFX1,1,0,0,0
UBAP2,1,0,0,0
UBAP1,1,0,0,0
KIF24,1,1,0,0
MYORG,1,0,0,0
ENHO,1,1,0,0
ATP8B5P,0,1,0,0
PAX5,0,1,0,0
TRMT10B,1,1,0,0
SHB,1,0,0,0
SNX18P3,0,1,0,0
ANKRD18A,1,1,0,0
CNTNAP3,1,1,0,0
ZNF658B,1,1,0,0
BX664727.3,1,1,0,0
GXYLT1P3,1,0,0,0
CBWD6,1,1,0,0
CNTNAP3B,1,1,0,0
AL391987.2,1,0,0,0
CR769775.2,1,0,0,0
ANKRD20A4P,1,1,0,0
CBWD4P,1,1,0,0
CBWD5,1,1,0,0
AL136317.2,0,1,0,0
GXYLT1P4,0,1,0,0
AL513478.4,1,1,0,0
ZNF658,1,1,0,0
CNTNAP3P2,1,1,0,0
ANKRD20A1,1,1,0,0
CBWD3,1,1,0,0
CEMIP2,1,1,0,0
ALDH1A1,1,1,0,0
TRPM6,0,1,0,0
PCSK5,0,1,0,0
PSAT1,1,0,0,0
RASEF,1,1,0,0
AL499602.1,1,1,0,0
FRMD3,1,1,0,0
AL354920.1,1,1,0,0
GKAP1,1,0,0,0
KIF27,1,1,0,0
AL353743.4,1,1,0,0
AL353743.1,1,1,0,0
TUT7,1,1,0,0
NFIL3,1,1,0,0
NOL8,1,0,0,0
AL136981.2,1,1,0,0
ZNF484,1,1,0,0
AOPEP,1,1,0,0
ERCC6L2,0,1,0,0
SLC35D2,1,0,0,0
ZNF782,1,1,0,0
ANKRD18CP,1,1,0,0
SUGT1P4.STRA6LP,1,1,0,0
STRA6LP,1,1,0,0
TSTD2,1,1,0,0
TRMO,1,1,0,0
NR4A3,1,1,0,0
ZNF189,1,1,0,0
NIPSNAP3B,1,1,0,0
FSD1L,1,1,0,0
SVEP1,0,1,0,0
DNAJC25,1,1,0,0
ZFP37,1,1,0,0
FKBP15,1,1,0,0
BSPRY,1,0,0,0
ASTN2,1,1,0,0
B3GNT10,0,1,0,0
GSN,1,0,0,0
ZBTB6,1,1,0,0
AC006450.3,1,0,0,0
GARNL3,1,1,0,0
ZNF79,1,1,0,0
SH2D3C,1,1,0,0
CDK9,1,1,0,0
SLC25A25,1,1,0,0
SLC25A25.AS1,1,1,0,0
AL441992.2,1,0,0,0
DOLPP1,1,0,0,0
IER5L,1,1,0,0
AL158151.1,0,1,0,0
ASS1,1,1,0,0
FAM78A,1,1,0,0
PLPP7,1,0,0,0
DDX31,1,1,0,0
COL5A1,1,1,0,0
OLFM1,1,0,0,0
PPP1R26,1,1,0,0
NACC2,1,1,0,0
SNAPC4,1,1,0,0
INPP5E,1,1,0,0
MAMDC4,0,1,0,0
NDOR1,1,1,0,0
BX255925.3,1,1,0,0
CYSRT1,1,1,0,0
TUBB4B,0,1,0,0
FAM157B,1,1,0,0
IDI2.AS1,1,0,0,0
KLF6,1,1,0,0
RPL12P28,1,1,0,0
SFMBT2,1,1,0,0
GATA3,1,1,0,0
CCDC3,1,1,0,0
MCM10,1,0,0,0
DCLRE1C,1,1,0,0
RPP38,1,1,0,0
TMEM236,1,0,0,0
MRC1,1,0,0,0
AL450384.2,1,1,0,0
MIR1915HG,1,1,0,0
MYO3A,1,1,0,0
GAD2,1,1,0,0
PDSS1,1,0,0,0
MASTL,1,0,0,0
BAMBI,1,1,0,0
JCAD,1,1,0,0
MTPAP,1,1,0,0
ZNF438,0,1,0,0
EPC1,1,1,0,0
CCDC7,1,1,0,0
AL117339.4,0,1,0,0
HSD17B7P2,1,1,0,0
AL133216.2,1,1,0,0
CCNYL2,0,1,0,0
ZNF239,1,1,0,0
ZNF485,1,1,0,0
AGAP10P,1,1,0,0
AGAP4,1,1,0,0
PARGP1,1,1,0,0
AGAP7P,1,1,0,0
AGAP14P,1,1,0,0
AL356056.2,1,1,0,0
SHLD2P1,1,1,0,0
BMS1P1,1,1,0,0
AGAP13P,1,0,0,0
AGAP9,1,1,0,0
AL591684.2,1,1,0,0
BMS1P2,1,1,0,0
SHLD2P3,1,1,0,0
AGAP12P,1,1,0,0
TIMM23B,1,1,0,0
TIMM23B.AGAP6,1,1,0,0
AGAP6,1,1,0,0
ASAH2B,0,1,0,0
CABCOCO1,1,1,1,1
ARID5B,1,0,0,0
SIRT1,1,1,0,0
PBLD,0,1,0,0
RUFY2,1,1,0,0
DNA2,1,1,0,0
SPOCK2,1,1,0,0
DDIT4,1,0,0,0
DDIT4.AS1,1,1,0,0
AC073389.2,1,1,0,0
AGAP5,1,1,0,0
AC022400.3,1,1,0,0
AC022400.5,1,1,0,0
AC022400.6,1,1,0,0
BMS1P4,1,1,0,0
ZNF503,1,1,0,0
ZCCHC24,1,0,0,0
AL512662.2,1,0,0,0
MBL1P,0,1,0,0
ANXA11,1,1,0,0
AC067750.1,0,1,0,0
MMRN2,1,0,0,0
SNCG,1,1,0,0
AGAP11,0,1,0,0
CFL1P1,1,1,0,0
HTR7,1,0,0,0
ANKRD1,1,1,1,0
HECTD2,1,1,0,0
BTAF1,1,1,0,0
CPEB3,1,1,0,0
AL139124.1,1,1,0,0
CC2D2B,0,1,0,0
RRP12,1,0,0,0
MARVELD1,1,0,0,0
ZFYVE27,1,1,0,0
R3HCC1L,1,1,0,0
LOXL4,0,1,0,0
AL133353.2,1,1,0,0
ABCC2,1,1,0,0
DNMBP,1,1,0,0
SEC31B,1,1,0,0
AL133352.1,1,0,0,0
OGA,0,1,0,0
PPRC1,1,1,0,0
PSD,1,1,0,0
PCGF6,1,1,0,0
PLEKHS1,1,1,0,0
ADRB1,1,0,0,0
GFRA1,1,0,0,0
AL391988.1,1,0,0,0
EMX2OS,1,0,0,0
NANOS1,1,1,0,0
FAM24B,1,1,0,0
C10orf88,1,1,0,0
IKZF5,1,1,0,0
LHPP,1,0,0,0
AL731577.2,0,1,0,0
EDRF1,1,1,0,0
FANK1,1,1,1,0
JAKMIP3,0,1,0,0
SCART1,1,1,0,0
CYP2E1,1,1,0,0
LINC01001,1,1,0,0
IFITM2,0,1,0,0
IFITM1,1,1,0,0
IFITM3,0,1,0,0
PIDD1,1,1,0,0
DUSP8,1,1,0,0
KRTAP5.AS1,1,1,0,0
H19,0,1,0,0
IGF2,1,0,0,0
OSBPL5,0,1,0,0
ZNF195,1,1,0,0
AC127526.5,1,1,0,0
AC127526.2,1,1,0,0
ART5,0,1,0,0
CHRNA10,1,1,0,0
CNGA4,1,1,0,0
RRP8,1,1,0,0
DCHS1,1,0,0,0
ZNF214,1,1,0,0
NLRP14,1,1,0,0
RBMXL2,1,0,0,0
TUB,1,1,0,0
TRIM66,1,1,0,0
ADM,1,1,0,0
ZBED5,1,1,0,0
GALNT18,1,1,0,0
MICAL2,1,0,0,0
AC018523.2,1,0,0,0
INSC,1,1,0,0
PLEKHA7,1,1,0,0
AC116533.1,0,1,0,0
ABCC8,1,1,0,0
TPH1,1,1,0,0
UEVLD,1,0,0,0
SPTY2D1,1,0,0,0
TMEM86A,0,1,0,0
E2F8,1,1,0,0
SLC5A12,0,1,0,0
BBOX1.AS1,1,0,0,0
LGR4,0,1,0,0
ARL14EP,1,0,0,0
DCDC1,1,1,0,0
WT1.AS,1,0,0,0
TRAF6,1,1,0,0
SEC14L1P1,1,0,0,0
ALX4,1,1,0,0
CHST1,1,1,0,0
MDK,0,1,0,0
HARBI1,1,1,0,0
ZNF408,1,1,0,0
DDB2,1,1,0,0
NR1H3,1,1,0,0
FNBP4,1,1,0,0
PTPRJ,1,0,0,0
SLC43A3,0,1,0,0
UBE2L6,1,1,0,0
SERPING1,1,1,0,0
LPXN,1,1,0,0
CNTF,1,0,1,0
VWCE,1,1,0,0
LBHD1,1,1,0,0
HNRNPUL2.BSCL2,1,1,0,0
SNHG1,1,1,0,0
NRXN2,1,0,0,0
PYGM,1,0,0,0
CDC42BPG,1,0,0,0
PPP2R5B,1,1,0,0
GPHA2,1,1,0,0
ZNHIT2,1,0,0,0
AP003068.2,1,0,0,0
NEAT1,1,1,0,0
EHBP1L1,0,1,0,0
CNIH2,1,1,0,0
RIN1,1,1,0,0
SLC29A2,1,1,0,0
RBM14.RBM4,1,1,0,0
LRFN4,0,1,0,0
RAD9A,1,1,0,0
NUDT8,1,1,0,0
IGHMBP2,1,1,0,0
TPCN2,1,1,0,0
LTO1,1,1,0,0
ZNF705E,1,1,0,0
ARHGEF17,1,0,0,0
RELT,1,1,0,0
UCP3,1,1,0,0
C2CD3,1,1,0,0
AP001972.5,0,1,0,0
EMSY,0,1,0,0
USP35,1,1,0,0
RAB30,1,1,0,0
PCF11,0,1,0,0
CREBZF,1,1,0,0
SYTL2,0,1,0,0
EED,1,0,0,0
FZD4,1,1,0,0
NAALAD2,0,1,0,0
CEP295,1,1,0,0
AP001273.1,1,1,0,0
TAF1D,1,1,0,0
ANKRD49,1,1,0,0
PIWIL4,1,1,0,0
FAM76B,1,1,0,0
CEP126,0,1,0,0
BIRC3,1,1,0,0
AP001830.1,1,1,0,0
AP000766.1,1,1,0,0
ATM,0,1,0,0
ZC3H12C,1,1,0,0
ANKK1,1,1,0,0
HTR3A,1,1,0,0
AP002373.1,1,0,0,0
SIK3,1,1,0,0
IL10RA,1,1,0,0
SCN4B,1,0,0,0
KMT2A,1,1,0,0
CCDC84,1,1,0,0
AP000646.1,1,0,0,0
TECTA,1,1,0,0
HSPA8,0,1,0,0
SCN3B,0,1,0,0
ZNF202,1,1,0,0
MSANTD2,1,1,0,0
CCDC15.DT,1,1,0,0
CCDC15,1,1,0,0
SLC37A2,1,1,0,0
CHEK1,0,0,1,1
CDON,1,1,0,0
FLI1,1,1,0,0
TP53AIP1,1,1,1,1
GLB1L3,1,1,0,0
WASH8P,1,1,0,0
SLC6A13,1,0,0,0
NINJ2.AS1,1,0,0,0
RAD52,1,1,0,0
ITFG2,1,1,0,0
AC125807.2,1,1,0,0
AKAP3,1,1,0,0
ANO2,0,1,0,0
TAPBPL,1,0,0,0
AC006064.4,0,1,0,0
IFFO1,1,1,0,0
NOP2,1,0,0,0
C1S,1,0,0,0
C1R,1,1,0,0
AC006511.4,1,1,0,0
AC006511.6,1,0,0,0
CLEC4A,1,1,0,0
AC092745.4,1,1,0,0
AC009533.1,1,1,0,0
DDX12P,1,1,0,0
AC092821.4,0,1,0,0
AC092821.2,1,1,0,0
AC010186.2,1,1,0,0
AC010186.3,1,1,0,0
CLEC2D,1,1,0,0
GABARAPL1,1,1,0,0
AC022075.1,1,0,0,0
KLRA1P,1,1,0,0
PRH1,1,1,0,0
PRR4,0,1,0,0
AC018630.2,1,1,0,0
TAS2R13,0,1,0,0
TAS2R14,1,1,0,0
DUSP16,1,1,0,0
EMP1,1,1,0,0
AC010168.2,0,1,0,0
AEBP2,0,1,0,0
SPX,0,1,0,0
AC010197.2,1,0,0,0
BCAT1,1,0,0,0
AC092747.2,1,1,0,0
SMCO2,1,0,0,0
AC009318.1,1,1,0,0
CAPRIN2,1,1,0,0
TSPAN11,1,1,0,0
DDX11,1,1,0,0
AC084824.6,1,1,0,0
AC084824.2,1,1,0,0
CNTN1,1,0,0,0
ADAMTS20,1,1,0,0
SLC38A1,1,0,0,0
SLC38A2,1,0,0,0
AMIGO2,1,0,0,0
KANSL2,1,1,0,0
CCNT1,1,1,0,0
RND1,1,1,0,0
TUBA1B,0,1,0,0
AC011603.3,0,1,0,0
TUBA1A,0,1,0,0
TUBA1C,0,1,0,0
AC125611.3,0,1,0,0
PRPF40B,0,1,0,0
BCDIN3D,1,1,0,0
ASIC1,1,1,1,1
METTL7A,1,0,0,0
LETMD1,0,1,0,0
SCN8A,1,1,0,0
OR7E47P,1,0,0,0
TNS2,0,1,0,0
PCBP2.OT1,1,0,0,0
ATF7.NPFF,1,0,0,0
HOXC6,1,0,0,0
HOXC8,1,1,0,0
HOXC4,1,0,0,0
AC023794.5,1,0,0,0
AC073896.4,0,1,0,0
STAT2,1,1,0,0
HSD17B6,1,0,0,0
MYO1A,1,0,0,0
NXPH4,1,1,0,0
AGAP2.AS1,0,1,0,0
CYP27B1,1,1,0,0
METTL1,1,0,0,0
AVIL,1,0,0,0
LRIG3,1,1,0,0
USP15,1,0,0,0
C12orf66,1,1,0,0
AC026124.2,1,1,0,0
MDM1,1,1,0,0
THAP2,1,1,0,0
ZDHHC17,0,1,0,0
METTL25,1,0,0,0
RASSF9,1,0,0,0
CEP290,0,1,0,0
DUSP6,1,0,0,0
POC1B.GALNT4,1,0,0,0
BTG1,1,1,0,0
EEA1,0,1,0,0
AC073655.2,1,1,0,0
CEP83.DT,0,1,0,0
NR2C1,1,0,0,0
AMDHD1,0,1,0,0
HAL,1,1,0,0
ELK3,1,1,0,0
CFAP54,0,1,0,0
GOLGA2P5,1,1,0,0
AC010203.1,1,1,0,0
AC025265.1,1,1,0,0
HCFC2,1,1,0,0
ALDH1L2,1,0,0,0
WASHC4,1,1,0,0
RIC8B,1,1,0,0
PRDM4,1,1,0,0
ACACB,1,1,0,0
FOXN4,0,1,0,0
RAD9B,1,0,0,0
SH2B3,1,0,0,0
BRAP,1,1,0,0
PCNPP1,1,0,0,0
AC073575.4,1,1,0,0
NAA25,1,1,0,0
HECTD4,0,1,0,0
TBX3,1,1,0,0
HRK,0,1,0,0
FBXW8,1,1,0,0
WSB2,0,1,0,0
PRKAB1,1,1,0,0
CIT,0,1,0,0
SIRT4,1,0,0,0
CABP1,1,0,0,0
P2RX4,1,1,0,0
WDR66,1,0,0,0
AC048338.1,1,0,0,0
ZCCHC8,1,1,0,0
RSRC2,1,1,0,0
KNTC1,0,1,0,0
OGFOD2,1,0,0,0
DDX55,1,1,0,0
SLC15A4,1,1,0,0
GLT1D1,0,1,0,0
FZD10,1,1,0,0
PUS1,1,0,0,0
EP400P1,1,1,0,0
DDX51,1,1,0,0
LINC02361,1,0,0,0
AC131212.3,0,0,1,0
ZNF26,1,1,0,0
ZNF84,1,1,0,0
ZNF140,1,1,0,0
ZNF891,0,1,0,0
ZNF10,1,1,0,0
ZNF268,1,1,0,0
ZMYM5,1,1,0,0
GJB2,1,0,0,0
CRYL1,1,1,1,1
AL161772.1,1,0,0,0
TPTE2P6,1,1,0,0
CENPJ,0,1,0,0
SHISA2,1,1,0,0
PDX1,0,1,0,0
CDX2,1,0,0,0
SLC7A1,1,0,0,0
FRY,1,0,0,0
BRCA2,1,1,0,0
AL137247.2,0,1,0,0
POSTN,1,1,0,0
LINC00598,1,1,0,0
NAA16,1,1,0,0
DGKH,0,1,0,0
TSC22D1,1,0,0,0
NUFIP1,1,0,0,0
COG3,1,1,0,0
TRIM13,0,1,0,0
GUCY1B2,1,1,0,0
INTS6,1,1,0,0
AL162377.1,1,1,0,0
MRPS31P5,1,1,0,0
AL139082.2,1,1,0,0
AL137058.2,1,1,0,0
HNRNPA1L2,1,1,0,0
DIAPH3,0,0,1,1
PCDH20,1,1,0,0
MYCBP2,0,1,0,0
EDNRB,1,0,0,0
OBI1,1,1,0,0
RBM26.AS1,1,1,0,0
SPRY2,1,0,0,0
SOX21,1,0,0,0
ZIC5,1,1,0,0
LIG4,1,0,0,0
COL4A2,1,0,0,0
DCUN1D2,1,1,0,0
CCNB1IP1,1,1,0,0
ANG,1,0,0,0
RNASE4,1,1,0,0
AL132780.2,1,0,0,0
SLC7A8,1,1,0,0
AP1G2,1,1,0,0
DHRS2,1,1,0,0
PCK2,1,0,0,0
EMC9,1,0,0,0
AL136295.5,0,1,0,0
AL096870.2,1,1,0,0
EGLN3,0,1,0,0
NFKBIA,1,1,0,0
SLC25A21.AS1,1,1,0,0
AL049828.2,1,1,0,0
TOGARAM1,1,1,0,0
PRPF39,1,1,0,0
RPL36AL,0,1,0,0
KLHDC1,1,1,0,0
LINC01588,1,1,0,0
VCPKMT,1,1,0,0
GPR137C,1,1,0,0
AL139317.5,1,1,0,0
SAMD4A,1,1,0,0
RPSAP13,1,0,0,0
LGALS3,0,1,0,0
TMEM260,0,1,0,0
OTX2,1,1,0,0
ARID4A,1,1,0,0
AL049873.2,0,1,0,0
GPR135,0,1,0,0
L3HYPDH,1,1,0,0
CCDC175,0,1,0,0
LINC00643,0,1,0,0
AL161756.1,0,1,0,0
TEX21P,0,0,1,1
ZBTB1,1,1,0,0
HSPA2,1,0,0,0
SPTB,1,0,0,0
AL049779.1,1,1,0,0
ZFP36L1,1,1,0,0
DPF3,1,1,0,0
DCAF4,1,1,0,0
AC005520.3,1,1,0,0
FAM161B,1,1,0,0
COQ6,1,1,0,0
VSX2,1,0,0,0
ABCD4,1,1,0,0
RPS6KL1,0,1,0,0
MLH3,0,1,0,0
FOS,1,1,0,0
AF111167.2,1,0,0,0
JDP2,1,1,0,0
TGFB3,1,1,0,0
AC016526.3,0,1,0,0
VASH1,1,1,0,0
IRF2BPL,1,1,0,0
NOXRED1,1,1,0,0
ALKBH1,1,1,0,0
DIO2,0,1,0,0
PTPN21,1,1,0,0
NRDE2,1,1,0,0
FBLN5,1,1,0,0
TRIP11,0,1,0,0
MOAP1,1,1,0,0
UNC79,1,1,0,0
IFI27L2,1,0,0,0
SYNE3,1,0,0,0
C14orf132,1,1,0,0
BDKRB2,1,1,0,0
LINC00618,1,1,0,0
CCDC85C,1,1,0,0
CYP46A1,0,1,0,0
BEGAIN,1,0,0,0
ZNF839,0,1,0,0
TRAF3,1,0,0,0
TRMT61A,1,0,0,0
TMEM179,1,0,0,0
ZBTB42,1,1,0,0
AHNAK2,1,0,0,0
HERC2P3,1,1,0,0
HERC2P2,1,1,0,0
GOLGA8IP,1,1,0,0
WHAMMP3,1,1,0,0
PDCD6IPP1,1,1,0,0
TUBGCP5,1,1,0,0
GOLGA8S,1,1,0,0
HERC2P9,1,1,0,0
GOLGA8M,0,1,0,0
WHAMMP2,1,1,0,0
ULK4P3,0,1,0,0
GOLGA8T,1,1,0,0
LINC02249,0,1,0,0
AC127502.1,1,1,0,0
AC127502.2,1,1,0,0
AC127502.3,0,1,0,0
AC026150.3,1,0,0,0
GOLGA8H,1,1,0,0
AC091057.4,1,1,0,0
ARHGAP11B,1,1,0,0
ARHGAP11B.1,1,1,0,0
AC091057.6,1,1,0,0
AC091057.1,1,1,0,0
GOLGA8UP,0,1,0,0
HERC2P10,1,0,0,0
FAN1,0,1,0,0
MTMR10,1,1,0,0
KLF13,1,0,0,0
GOLGA8K,1,1,0,0
AC135983.2,1,1,0,0
GOLGA8O,1,1,0,0
AC135983.5,1,0,0,0
AC135983.4,1,1,0,0
AC135983.3,1,1,0,0
AC123768.4,0,1,0,0
GOLGA8N,0,1,0,0
SCG5,1,0,0,0
GOLGA8A,0,1,0,0
AC025678.3,1,0,0,0
GOLGA8B,0,1,0,0
RPUSD2,1,0,0,0
CHAC1,1,0,0,0
INO80,1,1,0,0
JMJD7.PLA2G4B,0,1,0,0
TMEM87A,1,1,0,0
AC012651.1,1,1,0,0
HAUS2,1,1,0,0
STARD9,1,1,0,0
CDAN1,1,1,0,0
UBR1,1,1,0,0
LCMT2,1,1,0,0
SPATA5L1,1,1,0,0
CEP152,1,1,0,0
AP4E1,1,1,0,0
GLDN,0,1,0,0
DMXL2,0,1,0,0
FAM214A,1,1,0,0
ZNF280D,1,1,0,0
AC090517.4,0,1,0,0
RNF111,1,1,0,0
ANXA2,0,1,0,0
PPIB,0,1,0,0
PIF1,1,1,0,0
DPP8,1,1,0,0
DENND4A,0,1,0,0
AC116913.1,1,0,0,0
SNAPC5,1,0,0,0
THAP10,0,1,0,0
PARP6,1,1,0,0
HCN4,1,0,0,0
STOML1,1,0,0,0
GOLGA6A,0,1,0,0
AC012435.2,1,0,0,0
CLK3,1,1,0,0
CYP1A1,1,1,0,0
PPCDC,1,0,0,0
C15orf39,1,0,0,0
NEIL1,1,1,0,0
AC068338.2,0,1,0,0
AC105020.1,1,0,0,0
ISL2,1,1,0,0
SCAPER,0,1,0,0
AC104758.2,0,1,0,0
CIB2,0,1,0,0
MINAR1,1,1,0,0
AC015871.8,0,1,0,0
AC027808.1,1,0,0,0
EFL1,1,0,0,0
GOLGA6L10,1,1,0,0
UBE2Q2P2,1,1,0,0
AC243919.2,1,0,0,0
AP3B2,0,1,0,0
WHAMM,1,1,0,0
ADAMTSL3,0,1,0,0
